"V1";"V2"
"Will Iran agree to a nuclear deal before the end of 2014?";"Will Iran agree to a nuclear deal before the end of 2014?"
"Will Vladimir Putin be president of the Russian Federation on April 1, 2015?";"Will Putin last until spring?"
"Muriel Bowser";"Bowser"
"Carol Schwartz";"Schwartz"
"David Catania";"Catania"
"Will Republicans control both Congress and the White House after 2016?";"Undivided government under the Republicans after 2016?"
"Will Democrats control both Congress and the White House after 2016?";"Undivided government under the Democrats after 2016?"
"Will Mary Landrieu be defeated in the Louisiana Senate election?";"Will Mary Landrieu be defeated in the Louisiana Senate election?"
"53 or more";"53+"
"50";"50"
"49";"49"
"48";"48"
"51";"51"
"47 or fewer";"47-"
"52";"52"
"Will Scott Brown defeat Jeanne Shaheen in the New Hampshire Senate election?";"Will Scott Brown defeat Jeanne Shaheen in the New Hampshire Senate election?"
"Will Michelle Nunn win the Senate election in Georgia?";"Will Michelle Nunn win the Senate election in Georgia?"
"Will Kay Hagan be re-elected to the Senate from North Carolina?";"Will Kay Hagan be re-elected to the Senate from North Carolina?"
"Will Bruce Braley win the Senate election in Iowa?";"Will Bruce Braley win the Senate election in Iowa?"
"Will Ron Klain be named White House Chief of Staff before the end of 2014?";"Will Ron Klain be named White House Chief of Staff before the end of 2014?"
"Will twelve or more cases of Ebola be diagnosed in the U.S. before the end of 2014?";"Will twelve or more cases of Ebola be diagnosed in the U.S. before the end of 2014?"
"David Cameron";"Cameron"
"Ed Miliband";"Miliband"
"Nigel Farage";"Farage"
"Nick Clegg";"Clegg"
"Will President Obama have at least one veto overridden before he leaves office?";"At least one Obama veto override?"
"Will Harry Reid be elected Senate Minority Leader in the 114th Congress?";"Will Harry Reid be elected Senate Minority Leader in the 114th Congress?"
"Will the Senate confirm a new attorney general before January 3, 2015?";"Will the Senate confirm a new attorney general before January 3, 2015?"
"Will Joe Biden run for president in 2016?";"Will Biden run?"
"Will the House of Representatives vote to impeach President Barack Obama?";"Will Obama be impeached?"
"Will the FCC reclassify internet access under Title II of the Telecom Act?";"Will the FCC reclassify internet access under Title II of the Telecom Act?"
"Will the U.S. government authorize TransCanada's Keystone XL pipeline?";"Will the U.S. government authorize TransCanada's Keystone XL pipeline?"
"Will the Supreme Court disallow subsidies on health insurance purchased via the federal exchange?";"Will the Court limit Obamacare subsidies?"
"Will President Obama issue an executive order on immigration by the end of 2014?";"Will President Obama issue an executive order on immigration by the end of 2014?"
"Will Congress fail to enact new spending authority, shutting down the federal government?";"Will Congress fail to enact new spending authority, shutting down the federal government?"
"Ashton Carter";"Carter"
"Michele Flournoy";"Flournoy"
"Jack Reed";"Jack"
"Jeh Johnson";"Johnson"
"Deborah Lee James";"Lee James"
"Robert Work";"Work"
"Will Hillary Clinton become a presidential candidate by March 31?";"Will Hillary be a candidate by March 31?"
"Will Jeb Bush become a presidential candidate by March 31?";"Will Jeb be a candidate by March 31?"
"Will Mitt Romney become a presidential candidate by March 31, 2015?";"Will Mitt be a candidate by March 31?"
"Will Rahm Emanuel win a second term as mayor of Chicago?";"Will Rahm be reelected?"
"Will new federal funds be appropriated for police body cameras this year?";"Will new federal funds be appropriated for police body cameras this year?"
"Will a federal court overturn cancellation of the Washington Redskins trademark?";"Will Redskins win on appeal?"
"Will Queen Elizabeth II announce her abdication by year-end?";"Will Queen Elizabeth II announce her abdication by year-end?"
"Will the Senate restore the 60-vote threshold for nominees in 2015?";"Will GOP restore the Filibuster?"
"Will Elizabeth Warren become a presidential candidate by March 31?";"Will Warren be a candidate by March 31?"
"Will Congress repeal the medical device tax in 2015?";"Medical device tax repeal?"
"Will a federal minimum wage increase go into effect in 2015?";"Minimum wage hike in 2015?"
"Will NYC mayor Bill de Blasio announce his resignation by March 31?";"Will de Blasio announce resignation by March 31?"
"Will Greece declare a new national currency in 2015?";"Will Greece exit the Euro in 2015?"
"Will Obama veto more legislation than his predecessor?";"Will Obama veto more than Bush?"
"Republican";"Republican"
"Democratic";"Democratic"
"Other";"Other"
"Will John Boehner be reelected Speaker of the House?";"Will John Boehner be reelected Speaker of the House?"
"Will the U.S. authorize TransCanada's Keystone XL pipeline in 2015?";"Will Keystone get the green light in 2015?"
"Will the FCC reclassify internet access under Title II of the Telecom Act in 2015?";"Net Neutrality in 2015?"
"Will Obama's job approval be at least 45% on January 31?";"Obama approval at 45+% on January 31?"
"Justin Trudeau";"Trudeau"
"Stephen Harper";"Harper"
"Thomas Mulcair";"Mulcair"
"Will President Obama transfer or release all Gitmo detainees before leaving office?";"Will Obama close Gitmo?"
"Will Republicans maintain a Senate majority after the next election?";"Will the GOP keep the Senate?"
"Will Benjamin Netanyahu win another term as prime minister of Israel?";"Will Netanyahu be reelected Israeli PM?"
"Will Goodluck Jonathan be reelected as president of Nigeria?";"Will Jonathan be reelected Nigerian president?"
"Will the federal gasoline tax increase in 2015?";"Will gas taxes rise in 2015?"
"Will the Supreme Court find a federal right to same-sex marriage?";"Will the Court legalize same-sex marriage?"
"Will Sarah Palin become a presidential candidate by March 31?";"Will Palin be a candidate by March 31?"
"Will Obama's job approval be at least 45% on February 28?";"Obama approval at 45+% on February 28?"
"Congressional approval at 15+% on February 28?";"Will congressional job approval be at least 15% on February 28?"
"Will Lindsey Graham become a Presidential candidate by March 31?";"Will Graham be a candidate by March 31?"
"Will the Republican presidential nominee win at least 370 electoral votes in 2016?";"Will GOP win the White House in a landslide?"
"Will the Democratic presidential nominee win at least 370 electoral votes in 2016?";"Will Democrats win the White House in a landslide?"
"Will Julie Christensen be elected supervisor of San Francisco District 3 in 2015?";"Will San Francisco elect Christensen supervisor?"
"Will Ed Lee be reelected mayor of San Francisco in 2015?";"Will San Francisco reelect Lee?"
"Will Benjamin Netanyahu deliver his Congressional address?";"Will Netanyahu address Congress?"
"Will DHS partially shut down on or before March 2 due to lack of funding?";"Will DHS shut down by March 2?"
"Will Obama veto the Keystone approval by March 16?";"Is a Keystone veto imminent?"
"Will Obama's job approval be at least 45% on March 6?";"Obama approval at 45+% on March 6?"
"Will DHS partially shut down on or before March 9 due to lack of funding?";"Will DHS shut down by March 9?"
"Will Congressional job approval be at least 18% on March 31?";"Congressional approval at 18+% on March 31?"
"Will Obama's job approval be at least 44% on March 13?";"Obama approval at 44+% on March 13?"
"Will Hillary Clinton publicly testify before Benghazi committee by May 31?";"Will Hillary testify?"
"Will Loretta Lynch be confirmed Attorney General by March 31?";"Will Lynch be confirmed by March 31?"
"Will Obama's job approval be at least 45% on March 20?";"Obama approval at 45+% on March 20?"
"Will primary polling give Clinton at least 55% on March 20?";"Clinton polling at 55+% on March 20?"
"Will primary polling give Walker at least 18% on March 20?";"Walker polling at 18+% on March 20?"
"Will Obama's job approval be at least 45% on March 27?";"Obama approval at 45+% on March 27?"
"Will primary polling give Walker at least 18% on March 27?";"Walker polling at 18+% on March 27?"
"Will primary polling give Clinton at least 55% on March 27?";"Clinton polling at 55+% on March 27?"
"Will Hillary Clinton become a presidential candidate by April 30?";"Will Clinton be a candidate by April 30?"
"Will Elizabeth Warren become a presidential candidate by April 30?";"Will Warren be a candidate by April 30?"
"Will Martin O'Malley become a presidential candidate by April 30?";"Will O'Malley be a candidate by April 30?"
"Will Jeb Bush become a presidential candidate by April 30?";"Will Jeb be a candidate by April 30?"
"Will Scott Walker become a presidential candidate by April 30?";"Will Walker be a candidate by April 30?"
"Will Marco Rubio become a presidential candidate by April 30?";"Will Rubio be a candidate by April 30?"
"Will Rand Paul become a presidential candidate by April 30?";"Will Rand be a candidate by April 30?"
"Will Obama's job approval be at least 45% on April 3?";"Obama approval at 45+% on April 3?"
"Will primary polling give Walker at least 18% on April 3?";"Walker polling at 18+% on April 3?"
"Will primary polling give Clinton at least 55% on April 3?";"Clinton polling at 55+% on April 3?"
"Will Dilma Rousseff remain president of Brazil through year-end?";"Will Dilma survive?"
"Will Nicolás Maduro remain President of Venezuela through year-end?";"Will Maduro hang on?"
"Will Congressional job approval be at least 20% on April 30?";"Congressional approval at 20+% on April 30?"
"Will Loretta Lynch be confirmed Attorney General by April 30?";"Will Lynch be confirmed by April 30?"
"Will Obama's job approval be at least 46% on April 10?";"Obama approval at 46+% on April 10?"
"Will primary polling give Walker at least 17% on April 10?";"Walker polling at 17+% on April 10?"
"Will primary polling give Bush at least 17% on April 10?";"Bush polling at 17+% on April 10?"
"Will primary polling give Clinton at least 60% on April 10?";"Clinton polling at 60+% on April 10?"
"Will Democratic primary polling give someone other than Clinton at least 13% on April 10?";"Any non-Clinton polling at 13+% on April 10?"
"Will Vladimir Putin remain president of the Russian Federation through year-end?";"Will Putin last the year?"
"Will any of the FARC Secretariat be imprisoned for at least a year?";"Will FARC leaders go to jail?"
"Will Turkey's AK party win a 2/3 supermajority of seats in the June election?";"Will Erdogan sweep?"
"PRI";"PRI"
"PAN";"PAN"
"PRD";"PRD"
"Will Obama's job approval be at least 45% on April 17?";"Obama approval at 45+% on April 17?"
"Will primary polling give Walker at least 16% on April 30?";"Walker polling at 16+% on April 30?"
"Will primary polling give Bush at least 17% on April 30?";"Bush polling at 17+% on April 30?"
"Will primary polling give Clinton at least 60% on April 30?";"Clinton polling at 60+% on April 30?"
"Will primary polling give someone other than Clinton at least 12% on April 30?";"Any non-Clinton polling at 12+% on April 30?"
"45.1%";"45.1%"
"44.9%";"44.9%"
"44.6%";"44.6%"
"44.7%";"44.7%"
"44.5% or less";"44.5% -"
"44.8%";"44.8%"
"45.0%";"45.0%"
"45.2%";"45.2%"
"45.3%";"45.3%"
"45.4%";"45.4%"
"45.5% or more";"45.5% +"
"Will Carly Fiorina become a presidential candidate by April 30?";"Will Fiorina be a candidate by April 30?"
"Will Lincoln Chafee become a presidential candidate by April 30?";"Will Chafee be a candidate by April 30?"
"Will Obama's job approval be at least 45% on April 24?";"Obama approval at 45+% on April 24?"
"Will Bernie Sanders become a presidential candidate by April 30?";"Will Sanders be a candidate by April 30?"
"Will Jim Webb become a presidential candidate by April 30?";"Will Webb be a candidate by April 30?"
"Will Bill de Blasio become a presidential candidate by April 30?";"Will de Blasio be a candidate by April 30?"
"Will Obama send Congress an Iran nuclear agreement by July 5?";"Iran nuclear deal by July 5?"
"Will Obama's job approval be at least 45% on May 1?";"Obama approval at 45+% on May 1?"
"Will Congress grant trade promotion authority by May 31?";"Trade promotion authority by May 31?"
"Will the estate tax be repealed by May 31?";"Death tax dead by May 31?"
"Will Elizabeth Warren become a presidential candidate by May 31?";"Will Warren be a candidate by May 31?"
"Will Martin O'Malley become a presidential candidate by May 31?";"Will O'Malley be a candidate by May 31?"
"Will Jeb Bush become a presidential candidate by May 31?";"Will Bush be a candidate by May 31?"
"Will Scott Walker become a presidential candidate by May 31?";"Will Walker be a candidate by May 31?"
"Will Carly Fiorina become a presidential candidate by May 31?";"Will Carly Fiorina be a candidate by May 31?"
"Will Lincoln Chafee become a presidential candidate by May 31?";"Will Chafee be a candidate by May 31?"
"Will Jim Webb become a presidential candidate by May 31?";"Will Jim Webb be a candidate by May 31?"
"Will Bill de Blasio become a presidential candidate by May 31?";"Will de Blasio be a candidate by May 31?"
"Will Obama's job approval be at least 45% on May 8?";"Obama approval at 45+% on May 8?"
"Will Congressional job approval be at least 18% on May 31?";"Congressional approval at 18+% on May 31?"
"Will primary polling give Clinton at least 60% on May 31?";"Clinton polling at 60+% on May 31?"
"Will primary polling give Walker at least 15% on May 31?";"Walker polling at 15+% on May 31?"
"Will primary polling give Bush at least 15% on May 31?";"Bush polling at 15+% on May 31?"
"Will primary polling give Rubio at least 15% on May 31?";"Rubio polling at 15+% on May 31?"
"Will primary polling give someone other than Clinton at least 12% on May 31?";"Any non-Clinton polling at 12+% on May 31?"
"45.5% - 45.9%";"45.5-45.9"
"46.5% or higher";"46.5+"
"46.0% - 46.4%";"46.0-46.4"
"45.0% - 45.4%";"45.0-45.4"
"44.5% - 44.9%";"44.5-44.9"
"44.4% or lower";"44.4-"
"44.9% or lower";"44.9-"
"Will a woman be elected U.S. President in 2016?";"Will the next elected President be a woman?"
"46.0% or higher";"46.0+"
"Will ""right direction"" poll at 29.5%+ at the end of May 22?";"Direction of country on May 22?"
"Will Congressional job approval be at least 16% on May 22?";"Congressional approval at 16+% on May 22?"
"45.5% or higher";"45.5+"
"44.0% - 44.4%";"44.0-44.4"
"43.9% or lower";"43.9-"
"Will Congressional job approval be at least 15% on May 29?";"Congressional approval at 15+% on May 29?"
"Will ""right direction"" poll at 29.5%+ at the end of May 29?";"Direction of country on May 29?"
"Will the UK vote to leave the EU by year-end 2016?";"Brexit by 2017?"
"Will Helle Thorning-Schmidt remain Prime Minister of Denmark?";"Will Thorning-Schmidt remain Danish PM?"
"Will the U.S. indict FIFA president Sepp Blatter in 2015?";"Will Sepp Blatter be indicted?"
"Will Congressional job approval be at least 16.5% on June 5?";"Congressional approval at 16.5%+ on June 5?"
"Will ""right direction"" poll at 29.5%+ at the end of June 5?";"Direction of country at 29.5%+ on June 5?"
"Will Congress grant trade promotion authority by June 30?";"Trade promotion authority by June 30?"
"Will the estate tax be repealed by June 30?";"Death tax dead by June 30?"
"Will Hillary Clinton publicly testify before Benghazi committee by June 30?";"Will Hillary testify in June?"
"Will Elizabeth Warren become a presidential candidate by June 30?";"Will Warren be a candidate by June 30?"
"Will Jeb Bush become a presidential candidate by June 30?";"Will Bush be a candidate by June 30?"
"Will Scott Walker become a presidential candidate by June 30?";"Will Walker be a candidate by June 30?"
"Will Lincoln Chafee become a presidential candidate by June 30?";"Will Chafee be a candidate by June 30?"
"Will Jim Webb become a presidential candidate by June 30?";"Will Webb be a candidate by June 30?"
"Will Bill de Blasio become a presidential candidate by June 30?";"Will de Blasio be a candidate by June 30?"
"Will Donald Trump become a presidential candidate by June 30?";"Will Trump be a candidate by June 30?"
"Will primary polling give Bush at least 15% on June 30?";"Bush polling at 15+% on June 30?"
"Will primary polling give Walker at least 15% on June 30?";"Walker polling at 15+% on June 30?"
"Will primary polling give Clinton at least 60% on June 30?";"Clinton polling at 60+% on June 30?"
"Will primary polling give Rubio at least 15% on June 30?";"Rubio polling at 15+% on June 30?"
"Will primary polling give someone other than Clinton at least 12% on June 30?";"Any non-Clinton polling at 12+% on June 30?"
"Will ""female Viagra"" drug flibanserin be available in the U.S. in 2015?";"Female Viagra available in US in 2015?"
"Will ""right direction"" poll at 30%+ at the end of June 12?";"Direction of country at 30%+ on June 12?"
"Will Congressional job approval be at least 16% on June 12?";"Congressional approval at 16%+ on June 12?"
"43.4% or lower";"43.4-"
"45.0% or higher";"45.0+"
"43.5% - 43.9%";"43.5-43.9"
"Congressional approval at 17%+ on June 19?";"Will Congressional job approval be at least 17% on June 19?"
"Direction of country at 29%+ on June 19?";"Will ""right direction"" poll at 29%+ at the end of June 19?"
"Will Chris Christie become a presidential candidate by June 30?";"Will Christie be a candidate by June 30?"
"Will Erdogan call for an early election by the end of July?";"Will Turkey have a snap election?"
"44%";"44"
"41% or lower";"41-"
"42%";"42"
"43%";"43"
"45% or higher";"45+"
"45% or lower";"45-"
"48%";"48"
"46%";"46"
"47%";"47"
"49% or higher";"49+"
"Will Caitlyn Jenner address the 2016 Democratic National Convention?";"Will Caitlyn Jenner speak at the Democratic convention?"
"Will Caitlyn Jenner address the 2016 Republican National Convention?";"Will Caitlyn Jenner speak at the Republican convention?"
"46% or higher";"46+"
"45%";"45"
"42% or lower";"42-"
"44.5% or higher";"44.5+"
"43.0% - 43.4%";"43.0-43.4"
"42.9% or lower";"42.9-"
"Will Obamacare approval be at least 42% at the end of July?";"Obamacare approval at 42%+ at end of July?"
"Will ""right direction"" poll at 28%+ at the end of June 26?";"Direction of country at 28%+ on June 26?"
"Will Congressional job approval be at least 16.5% on June 26?";"Congressional approval at 16.5%+ on June 26?"
"Will the ICC indict one or more Israeli officials this year?";"Will the ICC indict an Israeli official this year?"
"Will Matteo Renzi be Italy's prime minister at year-end?";"Will Renzi be Italy's PM at year-end?"
"48% or higher";"48%+"
"44% or lower";"44-"
"Will ""right direction"" poll at 28.5%+ at the end of July 3?";"Direction of country at 28.5%+ on July 3?"
"Will Congressional job approval be at least 16.5% on July 3?";"Congressional approval at 16.5%+ on July 3?"
"Will Greece pass a referendum on proposed bailout terms?";"Will Greece pass bailout referendum?"
"Will the estate tax be repealed this year?";"Death tax dead this year?"
"Will Hillary Clinton publicly testify before Benghazi committee by July 31?";"Will Hillary testify in July?"
"Will Elizabeth Warren become a presidential candidate by July 31?";"Will Warren be a candidate by July 31?"
"Will Scott Walker become a presidential candidate by July 31?";"Will Walker be a candidate by July 31?"
"Will Jim Webb become a presidential candidate by July 31?";"Will Webb be a candidate by July 31?"
"Will Bill de Blasio become a presidential candidate by July 31?";"Will de Blasio be a candidate by July 31?"
"Will primary polling give Bush at least 15% on July 31?";"Bush polling at 15+% on July 31?"
"Will primary polling give Walker at least 15% on July 31? ";"Walker polling at 15+% on July 31?"
"Will primary polling give Clinton at least 60% on July 31?";"Clinton polling at 60+% on July 31?"
"Will primary polling give Rubio at least 15% on July 31?";"Rubio polling at 15+% on July 31?"
"Will primary polling give someone other than Clinton at least 12% on July 31?";"Any non-Clinton polling at 12+% on July 31?"
"Rosa Parks";"Parks"
"Eleanor Roosevelt";"Roosevelt"
"Harriet Tubman";"Tubman"
"Wilma Mankiller";"Mankiller"
"Will Congressional job approval be at least 16% on July 10?";"Congressional approval at 16%+ on July 10?"
"Will ""right direction"" poll at 30%+ on July 10?";"Direction of country at 30%+ on July 10?"
"48% or higher";"48+"
"45.4% or lower";"45.4-"
"47.0% or higher";"47+"
"46.5% - 46.9%";"46.5-46.9"
"Will ""right direction"" poll at 31%+ on July 17?";"Direction of country at 31%+ on July 17?"
"Will Congressional job approval be at least 16% on July 17?";"Congressional approval at 16%+ on July 17?"
"Will Puerto Rico file for bankruptcy in 2015?";"Puerto Rico to go bankrupt?"
"Will Alexis Tsipras remain Greek prime minister through year-end?";"Will Tsipras last the year?"
"Will the Labor Department pass a final rule restricting overtime exemptions?";"Will Labor adopt new overtime rules?"
"Will ""right direction"" poll at 30.5%+ on July 24?";"Direction of country at 30.5%+ on July 24?"
"Will Congressional job approval be at least 15.5% on July 24?";"Congressional approval at 15.5%+ on July 24?"
"Will Congress override the Iran nuclear deal?";"Will Congress reject Iran deal?"
"Will Congress reauthorize the Export-Import Bank by the end of August?";"Will Congress reauthorize Ex-Im Bank by end of August?"
"Will Pedro Passos Coelho win re-election as prime minister of Portugal?";"Will Coelho remain Portugese PM?"
"Will ""right direction"" poll at 30.5%+ on July 31?";"Direction of country at 30.5%+ on July 31?"
"Will congressional job approval be at least 15% on July 31";"Congressional approval at 15%+ on July 31?"
"Will Obama's Gallup approval be 45% or higher for July 28-30?";"Obama's Gallup approval 45+ for July 28-30?"
"Will Chris Christie participate in the Fox News debate?";"Will Christie be in the Fox debate?"
"Will John Kasich participate in the Fox News debate?";"Will Kasich be in the Fox debate?"
"Will Rick Perry participate in the Fox News debate?";"Will Perry be in the Fox debate?"
"Will Carly Fiorina participate in the Fox News debate?";"Will Fiorina be in the Fox debate?"
"Will Rick Santorum participate in the Fox News debate?";"Will Santorum be in the Fox debate?"
"Will Bobby Jindal participate in the Fox News debate?";"Will Jindal be in the Fox debate?"
"Will Donald Trump become a third party presidential candidate this year?";"Will Trump run as a third-party candidate?"
"Will the DOJ open a criminal investigation into Clinton's email this year?";"Will DOJ investigate Clinton email?"
"Will legislation be enacted this year, stripping certain federal funds from sanctuary cities?";"Will sanctuary cities lose federal funding?"
"Will any candidate out-trend Trump on Twitter on the day of the Fox debate?";"Will anyone out-trend Trump at the Fox debate?"
"Will Obama's Gallup approval be 45% or higher for August 4-6?";"Obama's Gallup approval 45+ for August 4-6?"
"Will Erdogan call for an early election by the end of August?";"Will Turkey have a snap election?"
"Will Obamacare approval be at least 42.5% at the end of August?";"Obamacare approval at 42.5%+ at end of August?"
"Will primary polling give Bush at least 15% on August 31?";"Bush polling at 15+% on August 31?"
"Will primary polling give Walker at least 15% on August 31?";"Walker polling at 15+% on August 31?"
"Will primary polling give Clinton at least 60% on August 31?";"Clinton polling at 60+% on August 31?"
"Will primary polling give someone other than Clinton at least 15% on August 31?";"Any non-Clinton polling at 15+% on August 31?"
"Will ""right direction"" poll at 29%+ on August 7?";"Direction of country at 29%+ on August 7?"
"Will congressional job approval be at least 16% on August 7?";"Congressional approval at 16%+ on August 7?"
"Will primary polling give Trump at least 20% on August 31?";"Trump polling at 20+% on August 31?"
"Will accused lion poacher Walter Palmer be extradited to Zimbabwe this year?";"Will Palmer be extradited to Zimbabwe?"
"Will Obama's Gallup approval be 45% or higher for August 11-13?";"Obama's Gallup approval 45+ for August 11-13?"
"Will ""right direction"" poll at 29%+ on August 14?";"Direction of country at 29%+ on August 14?"
"Will congressional job approval be at least 17% on August 14?";"Congressional approval at 17%+ on August 14?"
"Kelly Ayotte";"Ayotte"
"Rob Portman";"Portman"
"Nikki Haley";"Haley"
"Joni Ernst";"Ernst"
"Bob Ehrlich";"Ehrlich"
"Rick Snyder";"Snyder"
"Condoleezza Rice";"Rice"
"Mia Love";"Love"
"Newt Gingrich";"Gingrich"
"David Petraeus";"Petraeus"
"John Hagelin";"Hagelin"
"Jeff Sessions";"Sessions"
"Neel Kashkari";"Kashkari"
"Carl Icahn";"Icahn"
"Rick Scott";"Scott"
"Mark Cuban";"Cuban"
"Bob Corker";"Corker"
"John Thune";"Thune"
"Dan Coats";"Coats"
"Duncan Hunter";"Hunter"
"James Mattis";"Mattis"
"Scott Brown";"Brown"
"Mary Fallin";"Fallin"
"Renee Ellmers";"Ellmers"
"Jan Brewer";"Brewer"
"John Barrasso";"Barrasso"
"Marsha Blackburn";"Blackburn"
"Tom Cotton";"Cotton"
"John Bolton";"Bolton"
"Tom Ridge";"Ridge"
"Cathy McMorris Rodgers";"McMorris Rodgers"
"Rudy Giuliani";"Giuliani"
"Michael Flynn";"Flynn"
"Tommy Franks";"Franks"
"Ivanka Trump";"Ivanka Trump"
"Julian Castro";"Julian Castro"
"Joaquin Castro";"Joaquin Castro"
"Deval Patrick";"Patrick"
"Cory Booker";"Booker"
"Evan Bayh";"Bayh"
"Tom Vilsack";"Vilsack"
"Mark Warner";"Warner"
"Anthony Foxx";"Foxx"
"Xavier Becerra";"Becerra"
"Tom Perez";"Perez"
"Tulsi Gabbard";"Gabbard"
"Sherrod Brown";"Brown"
"Wesley Clark";"Clark"
"Terry McAuliffe";"McAuliffe"
"Ed Rendell";"Rendell"
"Mark Dayton";"Dayton"
"Al Franken";"Franken"
"John Kerry";"Kerry"
"John Hickenlooper";"Hickenlooper"
"Eric Garcetti";"Garcetti"
"Tim Ryan";"Ryan"
"Mike Bloomberg";"Bloomberg"
"James Stavridis";"Stavridis"
"Will Al Gore become a presidential candidate by August 31?";"Will Gore be a candidate by August 31?"
"Will ""right direction"" poll at 29%+ on August 21?";"Direction of country at 29%+ on August 21?"
"Will congressional job approval be at least 16.5% on August 21?";"Congressional approval at 16.5%+ on August 21?"
"Will Obama's Gallup approval be 47% or higher for August 18-20?";"Obama's Gallup approval 47+ for August 18-20?"
"Will Obama's Gallup approval be 45% or higher for August 25-27?";"Obama's Gallup approval 45+ for August 25-27?"
"Will ""right direction"" poll at 28.5%+ on August 28?";" Direction of country at 28.5%+ on August 28?"
"Will congressional job approval be at least 16.5% on August 28?";"Congressional approval at 16.5%+ on August 28?"
"Will Carly Fiorina participate in the first-tier CNN debate?";"Will Fiorina participate in the first-tier CNN debate?"
"Will Chris Christie participate in the first-tier CNN debate?";"Will Christie participate in the first-tier CNN debate?"
"Will Rick Perry participate in the first-tier CNN debate?";"Will Perry participate in the first-tier CNN debate?"
"Will Rick Santorum participate in the first-tier CNN debate?";"Will Santorum participate in the first-tier CNN debate?"
"Will Mike Huckabee participate in the first-tier CNN debate?";"Will Huckabee participate in the first-tier CNN debate?"
"Will a woman succeed Ban Ki-Moon as Secretary-General of the United Nations?";"Will the next U.N. Secretary-General be a woman?"
"Will a federal criminal charge be filed against Hillary Clinton in 2015?";"Will Hillary face charges in 2015?"
"Jeremy Corbyn";"Corbyn"
"Elizabeth Kendall";"Kendall"
"Andrew Burnham";"Burnham"
"Yvette Cooper";"Cooper"
"Will Obama veto disapproval of Iran deal?";"Will Obama veto Congressional disapproval of the Iran nuclear deal?"
"Will Obama's Gallup approval be 44% or higher for September 1-3?";"Obama's Gallup approval 44+ for September 1-3?"
"Will ""right direction"" poll at 29.5%+ on September 4?";"Direction of country at 29.5%+ on September 4?"
"Will congressional job approval be at least 15.5% on September 4?";"Congressional approval at 15.5+% on September 4?"
"Will Obamacare approval be at least 40% at the end of September?";"Obamacare approval at 40%+ at end of September?"
"Will primary polling give Bush at least 10% on September 30?";"Bush polling at 10+% on September 30?"
"Will primary polling give Trump at least 25% on September 30?";"Trump polling at 25+% on September 30?"
"Will primary polling give Carson at least 10% on September 30?";"Carson polling at 10+% on September 30?"
"Will primary polling give Clinton at least 45% on September 30?";"Clinton polling at 45+% on September 30?"
"Will primary polling give Sanders at least 25% on September 30?";"Sanders polling at 25+% on September 30?"
"Will primary polling give Biden at least 15% on September 30?";"Biden polling at 15+% on September 30?"
"Will Al Gore become a presidential candidate by September 30?";"Will Gore be a candidate by September 30?"
"Will Obama's Gallup approval be 45% or higher for September 8-10?";"Obama's Gallup approval 45+ for September 8-10?"
"Will ""Right Direction"" poll at 28.5%+ on September 11?";"Direction of country at 28.5%+ on September 11?"
"Will congressional job approval be at least 15.5% on September 11?";"Congressional approval at 15.5+% on September 11?"
"Will the federal government shut down on October 1?";"Will the government shut down on October 1?"
"Will Obama's Gallup approval be 49% or higher for September 15-17?";"Obama's Gallup approval 49+ for September 15-17?"
