"V1";"V2";"V3";"V4"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Chris Christie ";"Christie "
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Joe Biden";"Biden"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Michael Bloomberg";"Bloomberg"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Sarah Palin";"Palin"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Elizabeth Warren";"Warren"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Rand Paul";"Paul"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Mitt Romney";"Romney"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Martin O'Malley";"O'Malley"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Jerry Brown";"Brown"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Lindsey Graham";"Graham"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Mike Huckabee";"Huckabee"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Ted Cruz";"Cruz"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Scott Walker";"Walker"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"John Kasich";"Kasich"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Mike Pence";"Pence"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Carly Fiorina";"Fiorina"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Rick Perry";"Perry"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Rick Santorum";"Santorum"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Ben Carson";"Carson"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Paul Ryan";"Ryan"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Bobby Jindal";"Jindal"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Lincoln Chafee";"Chafee"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Bernie Sanders";"Sanders"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Bill de Blasio";"de Blasio"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Jim Webb";"Webb"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"George Pataki";"Pataki"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Gary Johnson";"Johnson"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Jill Stein";"Stein"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Evan McMullin";"McMullin"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Tim Kaine";"Kaine"
"Who will be the next justice to leave the Supreme Court?";"Who will be the next justice to leave the Supreme Court?";"Antonin Scalia ";"Scalia "
"Who will be the next justice to leave the Supreme Court?";"Who will be the next justice to leave the Supreme Court?";"Anthony Kennedy";"Kennedy"
"Who will be the next justice to leave the Supreme Court?";"Who will be the next justice to leave the Supreme Court?";"Clarence Thomas";"Thomas"
"Who will be the next justice to leave the Supreme Court?";"Who will be the next justice to leave the Supreme Court?";"Ruth Bader Ginsburg";"Ginsburg"
"Who will be the next justice to leave the Supreme Court?";"Who will be the next justice to leave the Supreme Court?";"Stephen Breyer";"Breyer"
"Who will be the next justice to leave the Supreme Court?";"Who will be the next justice to leave the Supreme Court?";"John G. Roberts";"Roberts"
"Who will be the next justice to leave the Supreme Court?";"Who will be the next justice to leave the Supreme Court?";"Samuel A. Alito, Jr. ";"Alito"
"Who will be the next justice to leave the Supreme Court?";"Who will be the next justice to leave the Supreme Court?";"Sonia Sotomayor";"Sotomayor"
"Who will be the next justice to leave the Supreme Court?";"Who will be the next justice to leave the Supreme Court?";"Elena Kagan";"Kagan"
"Will Mark Udall be re-elected to the Senate from Colorado?";"Will Udall beat Gardner in Colorado?";"Will Mark Udall be re-elected to the Senate from Colorado?";"Will Mark Udall be re-elected to the Senate from Colorado?"
"Will Pat Roberts be re-elected to the Senate from Kansas?";"Will Roberts outlast Orman in Kansas?";"Will Pat Roberts be re-elected to the Senate from Kansas?";"Will Pat Roberts be re-elected to the Senate from Kansas?"
"Will Rick Scott be re-elected governor of Florida?";"Scott over Crist in Florida?";"Will Rick Scott be re-elected governor of Florida?";"Will Rick Scott be re-elected governor of Florida?"
"Will North Korea test a nuclear weapon before the end of 2015?";"More nukes from North Korea?";"Will North Korea test a nuclear weapon before the end of 2015?";"More nukes from North Korea?"
"Will Iran agree to a nuclear deal before the end of 2014?";"Will Iran make peace this year?";"Will Iran agree to a nuclear deal before the end of 2014?";"Will Iran agree to a nuclear deal before the end of 2014?"
"Will Vladimir Putin be president of the Russian Federation on April 1, 2015?";"Will Putin last until spring?";"Will Vladimir Putin be president of the Russian Federation on April 1, 2015?";"Will Putin last until spring?"
"Who will be the next mayor of D.C.?";"Who will be the next mayor of D.C.?";"Muriel Bowser";"Bowser"
"Who will be the next mayor of D.C.?";"Who will be the next mayor of D.C.?";"Carol Schwartz";"Schwartz"
"Who will be the next mayor of D.C.?";"Who will be the next mayor of D.C.?";"David Catania";"Catania"
"Will Republicans control both Congress and the White House after 2016?";"Undivided government under the Republicans after 2016?";"Will Republicans control both Congress and the White House after 2016?";"Undivided government under the Republicans after 2016?"
"Will Democrats control both Congress and the White House after 2016?";"Undivided government under the Democrats after 2016?";"Will Democrats control both Congress and the White House after 2016?";"Undivided government under the Democrats after 2016?"
"Will Mary Landrieu be defeated in the Louisiana Senate election?";"End of the line for Mary Landrieu?";"Will Mary Landrieu be defeated in the Louisiana Senate election?";"Will Mary Landrieu be defeated in the Louisiana Senate election?"
"How many Senate seats will Republicans control in the next Congress?";"How many Senate seats will Republicans control in the next Congress?";"53 or more";"53+"
"How many Senate seats will Republicans control in the next Congress?";"How many Senate seats will Republicans control in the next Congress?";"50";"50"
"How many Senate seats will Republicans control in the next Congress?";"How many Senate seats will Republicans control in the next Congress?";"49";"49"
"How many Senate seats will Republicans control in the next Congress?";"How many Senate seats will Republicans control in the next Congress?";"48";"48"
"How many Senate seats will Republicans control in the next Congress?";"How many Senate seats will Republicans control in the next Congress?";"51";"51"
"How many Senate seats will Republicans control in the next Congress?";"How many Senate seats will Republicans control in the next Congress?";"47 or fewer";"47-"
"How many Senate seats will Republicans control in the next Congress?";"How many Senate seats will Republicans control in the next Congress?";"52";"52"
"Will Scott Brown defeat Jeanne Shaheen in the New Hampshire Senate election?";"Will Scott Brown be back?";"Will Scott Brown defeat Jeanne Shaheen in the New Hampshire Senate election?";"Will Scott Brown defeat Jeanne Shaheen in the New Hampshire Senate election?"
"Will Michelle Nunn win the Senate election in Georgia?";"A new Nunn from Georgia?";"Will Michelle Nunn win the Senate election in Georgia?";"Will Michelle Nunn win the Senate election in Georgia?"
"Will Kay Hagan be re-elected to the Senate from North Carolina?";"Will Hagan beat Tillis in North Carolina?";"Will Kay Hagan be re-elected to the Senate from North Carolina?";"Will Kay Hagan be re-elected to the Senate from North Carolina?"
"Will Bruce Braley win the Senate election in Iowa?";"Will they soon call him Senator Braley?";"Will Bruce Braley win the Senate election in Iowa?";"Will Bruce Braley win the Senate election in Iowa?"
"Will Ron Klain be named White House Chief of Staff before the end of 2014?";"Klain becomes Chief of Staff this year?";"Will Ron Klain be named White House Chief of Staff before the end of 2014?";"Will Ron Klain be named White House Chief of Staff before the end of 2014?"
"Will twelve or more cases of Ebola be diagnosed in the U.S. before the end of 2014?";"A dozen Ebola cases in the U.S. by New Year's?";"Will twelve or more cases of Ebola be diagnosed in the U.S. before the end of 2014?";"Will twelve or more cases of Ebola be diagnosed in the U.S. before the end of 2014?"
"Who will be Prime Minister after the next British election?";"Who will be the next British PM?";"David Cameron";"Cameron"
"Who will be Prime Minister after the next British election?";"Who will be the next British PM?";"Ed Miliband";"Miliband"
"Who will be Prime Minister after the next British election?";"Who will be the next British PM?";"Nigel Farage";"Farage"
"Who will be Prime Minister after the next British election?";"Who will be the next British PM?";"Nick Clegg";"Clegg"
"Will President Obama have at least one veto overridden before he leaves office?";"At least one Obama veto override?";"Will President Obama have at least one veto overridden before he leaves office?";"At least one Obama veto override?"
"Will Harry Reid be elected Senate Minority Leader in the 114th Congress?";"Will Harry Reid survive?";"Will Harry Reid be elected Senate Minority Leader in the 114th Congress?";"Will Harry Reid be elected Senate Minority Leader in the 114th Congress?"
"Will the Senate confirm a new attorney general before January 3, 2015?";"A new A-G in the lame duck?";"Will the Senate confirm a new attorney general before January 3, 2015?";"Will the Senate confirm a new attorney general before January 3, 2015?"
"Will Joe Biden run for president in 2016?";"Will Biden run?";"Will Joe Biden run for president in 2016?";"Will Biden run?"
"Will the House of Representatives vote to impeach President Barack Obama?";"Will Obama be impeached?";"Will the House of Representatives vote to impeach President Barack Obama?";"Will Obama be impeached?"
"Will the FCC reclassify internet access under Title II of the Telecom Act?";"Will the FCC impose Net Neutrality?";"Will the FCC reclassify internet access under Title II of the Telecom Act?";"Will the FCC reclassify internet access under Title II of the Telecom Act?"
"Will the U.S. government authorize TransCanada's Keystone XL pipeline?";"Will Keystone get the green light?";"Will the U.S. government authorize TransCanada's Keystone XL pipeline?";"Will the U.S. government authorize TransCanada's Keystone XL pipeline?"
"Will the Supreme Court disallow subsidies on health insurance purchased via the federal exchange?";"Will the Court limit Obamacare subsidies?";"Will the Supreme Court disallow subsidies on health insurance purchased via the federal exchange?";"Will the Court limit Obamacare subsidies?"
"Will President Obama issue an executive order on immigration by the end of 2014?";"Will Obama act on immigration this year?";"Will President Obama issue an executive order on immigration by the end of 2014?";"Will President Obama issue an executive order on immigration by the end of 2014?"
"Will Congress fail to enact new spending authority, shutting down the federal government?";"Will the government shut down in December?";"Will Congress fail to enact new spending authority, shutting down the federal government?";"Will Congress fail to enact new spending authority, shutting down the federal government?"
"Who will be confirmed as the next Secretary of Defense?";"Who will be the next SecDef?";"Ashton Carter";"Carter"
"Who will be confirmed as the next Secretary of Defense?";"Who will be the next SecDef?";"Michele Flournoy";"Flournoy"
"Who will be confirmed as the next Secretary of Defense?";"Who will be the next SecDef?";"Jack Reed";"Jack"
"Who will be confirmed as the next Secretary of Defense?";"Who will be the next SecDef?";"Jeh Johnson";"Johnson"
"Who will be confirmed as the next Secretary of Defense?";"Who will be the next SecDef?";"Deborah Lee James";"Lee James"
"Who will be confirmed as the next Secretary of Defense?";"Who will be the next SecDef?";"Robert Work";"Work"
"Will Hillary Clinton become a presidential candidate by March 31?";"Will Hillary be a candidate by March 31?";"Will Hillary Clinton become a presidential candidate by March 31?";"Will Hillary be a candidate by March 31?"
"Will Jeb Bush become a presidential candidate by March 31?";"Will Jeb be a candidate by March 31?";"Will Jeb Bush become a presidential candidate by March 31?";"Will Jeb be a candidate by March 31?"
"Will Mitt Romney become a presidential candidate by March 31, 2015?";"Will Mitt be a candidate by March 31?";"Will Mitt Romney become a presidential candidate by March 31, 2015?";"Will Mitt be a candidate by March 31?"
"Will Rahm Emanuel win a second term as mayor of Chicago?";"Will Rahm be reelected?";"Will Rahm Emanuel win a second term as mayor of Chicago?";"Will Rahm be reelected?"
"Will new federal funds be appropriated for police body cameras this year?";"Will the federal government fund body cams?";"Will new federal funds be appropriated for police body cameras this year?";"Will new federal funds be appropriated for police body cameras this year?"
"Will a federal court overturn cancellation of the Washington Redskins trademark?";"Will Redskins win on appeal?";"Will a federal court overturn cancellation of the Washington Redskins trademark?";"Will Redskins win on appeal?"
"Will Queen Elizabeth II announce her abdication by year-end?";"Will the queen abdicate?";"Will Queen Elizabeth II announce her abdication by year-end?";"Will Queen Elizabeth II announce her abdication by year-end?"
"Will the Senate restore the 60-vote threshold for nominees in 2015?";"Will GOP restore the Filibuster?";"Will the Senate restore the 60-vote threshold for nominees in 2015?";"Will GOP restore the Filibuster?"
"Will Elizabeth Warren become a presidential candidate by March 31?";"Will Warren be a candidate by March 31?";"Will Elizabeth Warren become a presidential candidate by March 31?";"Will Warren be a candidate by March 31?"
"Will Congress repeal the medical device tax in 2015?";"Medical device tax repeal?";"Will Congress repeal the medical device tax in 2015?";"Medical device tax repeal?"
"Will a federal minimum wage increase go into effect in 2015?";"Minimum wage hike in 2015?";"Will a federal minimum wage increase go into effect in 2015?";"Minimum wage hike in 2015?"
"Will NYC mayor Bill de Blasio announce his resignation by March 31?";"Will de Blasio announce resignation by March 31?";"Will NYC mayor Bill de Blasio announce his resignation by March 31?";"Will de Blasio announce resignation by March 31?"
"Will Greece declare a new national currency in 2015?";"Will Greece exit the Euro in 2015?";"Will Greece declare a new national currency in 2015?";"Will Greece exit the Euro in 2015?"
"Will Obama veto more legislation than his predecessor?";"Will Obama veto more than Bush?";"Will Obama veto more legislation than his predecessor?";"Will Obama veto more than Bush?"
"Which party will win the 2016 U.S. presidential election?";"Which party will win the White House?";"Republican";"Republican"
"Which party will win the 2016 U.S. presidential election?";"Which party will win the White House?";"Democratic";"Democratic"
"Which party will win the 2016 U.S. presidential election?";"Which party will win the White House?";"Other";"Other"
"Will John Boehner be reelected Speaker of the House?";"Will Boehner remain Speaker?";"Will John Boehner be reelected Speaker of the House?";"Will John Boehner be reelected Speaker of the House?"
"Will the U.S. authorize TransCanada's Keystone XL pipeline in 2015?";"Will Keystone get the green light in 2015?";"Will the U.S. authorize TransCanada's Keystone XL pipeline in 2015?";"Will Keystone get the green light in 2015?"
"Will the FCC reclassify internet access under Title II of the Telecom Act in 2015?";"Net Neutrality in 2015?";"Will the FCC reclassify internet access under Title II of the Telecom Act in 2015?";"Net Neutrality in 2015?"
"Will Obama's job approval be at least 45% on January 31?";"Obama approval at 45+% on January 31?";"Will Obama's job approval be at least 45% on January 31?";"Obama approval at 45+% on January 31?"
"Who will be elected Prime Minister of Canada in 2015?";"Who will be the next Canadian PM?";"Justin Trudeau";"Trudeau"
"Who will be elected Prime Minister of Canada in 2015?";"Who will be the next Canadian PM?";"Stephen Harper";"Harper"
"Who will be elected Prime Minister of Canada in 2015?";"Who will be the next Canadian PM?";"Thomas Mulcair";"Mulcair"
"Will President Obama transfer or release all Gitmo detainees before leaving office?";"Will Obama close Gitmo?";"Will President Obama transfer or release all Gitmo detainees before leaving office?";"Will Obama close Gitmo?"
"Will Republicans maintain a Senate majority after the next election?";"Will the GOP keep the Senate?";"Will Republicans maintain a Senate majority after the next election?";"Will the GOP keep the Senate?"
"Will Benjamin Netanyahu win another term as prime minister of Israel?";"Will Netanyahu be reelected Israeli PM?";"Will Benjamin Netanyahu win another term as prime minister of Israel?";"Will Netanyahu be reelected Israeli PM?"
"Will Goodluck Jonathan be reelected as president of Nigeria?";"Will Jonathan be reelected Nigerian president?";"Will Goodluck Jonathan be reelected as president of Nigeria?";"Will Jonathan be reelected Nigerian president?"
"Which party will win Barbara Boxer's Senate seat in California in 2016?";"Which party will win Boxer's seat?";"Democratic";"Democratic"
"Which party will win Barbara Boxer's Senate seat in California in 2016?";"Which party will win Boxer's seat?";"Republican";"Republican"
"Which party will win Barbara Boxer's Senate seat in California in 2016?";"Which party will win Boxer's seat?";"Other";"Other"
"Will the federal gasoline tax increase in 2015?";"Will gas taxes rise in 2015?";"Will the federal gasoline tax increase in 2015?";"Will gas taxes rise in 2015?"
"Will the Supreme Court find a federal right to same-sex marriage?";"Will the Court legalize same-sex marriage?";"Will the Supreme Court find a federal right to same-sex marriage?";"Will the Court legalize same-sex marriage?"
"Will Sarah Palin become a presidential candidate by March 31?";"Will Palin be a candidate by March 31?";"Will Sarah Palin become a presidential candidate by March 31?";"Will Palin be a candidate by March 31?"
"Will Obama's job approval be at least 45% on February 28?";"Obama approval at 45+% on February 28?";"Will Obama's job approval be at least 45% on February 28?";"Obama approval at 45+% on February 28?"
"Congressional approval at 15+% on February 28?";"Will congressional job approval be at least 15% on February 28?";"Congressional approval at 15+% on February 28?";"Will congressional job approval be at least 15% on February 28?"
"Will Lindsey Graham become a Presidential candidate by March 31?";"Will Graham be a candidate by March 31?";"Will Lindsey Graham become a Presidential candidate by March 31?";"Will Graham be a candidate by March 31?"
"Which party will win the U.S. Senate race in Nevada in 2016?";"Which party will win the NV Senate race?";"Democratic";"Democratic"
"Which party will win the U.S. Senate race in Nevada in 2016?";"Which party will win the NV Senate race?";"Republican";"Republican"
"Which party will win the U.S. Senate race in Nevada in 2016?";"Which party will win the NV Senate race?";"Other";"Other"
"Which party will win the U.S. Senate race in Colorado in 2016?";"Which party will win the CO Senate race?";"Democratic";"Democratic"
"Which party will win the U.S. Senate race in Colorado in 2016?";"Which party will win the CO Senate race?";"Republican";"Republican"
"Which party will win the U.S. Senate race in Colorado in 2016?";"Which party will win the CO Senate race?";"Other";"Other"
"Which party will win the U.S. Senate race in New Hampshire in 2016?";"Which party will win the NH Senate race?";"Democratic";"Democratic"
"Which party will win the U.S. Senate race in New Hampshire in 2016?";"Which party will win the NH Senate race?";"Republican";"Republican"
"Which party will win the U.S. Senate race in New Hampshire in 2016?";"Which party will win the NH Senate race?";"Other";"Other"
"Which party will win the U.S. Senate race in Pennsylvania in 2016?";"Which party will win the PA Senate race?";"Republican";"Republican"
"Which party will win the U.S. Senate race in Pennsylvania in 2016?";"Which party will win the PA Senate race?";"Democratic";"Democratic"
"Which party will win the U.S. Senate race in Pennsylvania in 2016?";"Which party will win the PA Senate race?";"Other";"Other"
"Which party will win the U.S. Senate race in Illinois in 2016?";"Which party will win the IL Senate race?";"Democratic";"Democratic"
"Which party will win the U.S. Senate race in Illinois in 2016?";"Which party will win the IL Senate race?";"Republican";"Republican"
"Which party will win the U.S. Senate race in Illinois in 2016?";"Which party will win the IL Senate race?";"Other";"Other"
"Which party will win the U.S. Senate race in Wisconsin in 2016?";"Which party will win the WI Senate race?";"Republican";"Republican"
"Which party will win the U.S. Senate race in Wisconsin in 2016?";"Which party will win the WI Senate race?";"Other";"Other"
"Which party will win the U.S. Senate race in Wisconsin in 2016?";"Which party will win the WI Senate race?";"Democratic";"Democratic"
"Which party will win the U.S. Senate race in North Carolina in 2016?";"Which party will win the NC Senate race?";"Republican";"Republican"
"Which party will win the U.S. Senate race in North Carolina in 2016?";"Which party will win the NC Senate race?";"Democratic";"Democratic"
"Which party will win the U.S. Senate race in North Carolina in 2016?";"Which party will win the NC Senate race?";"Other";"Other"
"Which party will win the U.S. Senate race in Florida in 2016?";"Which party will win the FL Senate race?";"Republican";"Republican"
"Which party will win the U.S. Senate race in Florida in 2016?";"Which party will win the FL Senate race?";"Democratic";"Democratic"
"Which party will win the U.S. Senate race in Florida in 2016?";"Which party will win the FL Senate race?";"Other";"Other"
"Which party will win the U.S. Senate race in Ohio in 2016?";"Which party will win the OH Senate race?";"Republican";"Republican"
"Which party will win the U.S. Senate race in Ohio in 2016?";"Which party will win the OH Senate race?";"Democratic";"Democratic"
"Which party will win the U.S. Senate race in Ohio in 2016?";"Which party will win the OH Senate race?";"Other";"Other"
"Will the Republican presidential nominee win at least 370 electoral votes in 2016?";"Will GOP win the White House in a landslide?";"Will the Republican presidential nominee win at least 370 electoral votes in 2016?";"Will GOP win the White House in a landslide?"
"Will the Democratic presidential nominee win at least 370 electoral votes in 2016?";"Will Democrats win the White House in a landslide?";"Will the Democratic presidential nominee win at least 370 electoral votes in 2016?";"Will Democrats win the White House in a landslide?"
"Will Julie Christensen be elected supervisor of San Francisco District 3 in 2015?";"Will San Francisco elect Christensen supervisor?";"Will Julie Christensen be elected supervisor of San Francisco District 3 in 2015?";"Will San Francisco elect Christensen supervisor?"
"Will Ed Lee be reelected mayor of San Francisco in 2015?";"Will San Francisco reelect Lee?";"Will Ed Lee be reelected mayor of San Francisco in 2015?";"Will San Francisco reelect Lee?"
"Will Benjamin Netanyahu deliver his Congressional address?";"Will Netanyahu address Congress?";"Will Benjamin Netanyahu deliver his Congressional address?";"Will Netanyahu address Congress?"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?";"Ted Cruz";"Cruz"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?";"Jeb Bush";"Bush"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?";"Ben Carson";"Carson"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?";"Chris Christie";"Christie"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?";"Mike Huckabee";"Huckabee"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?";"Bobby Jindal";"Jindal"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?";"Rand Paul";"Paul"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?";"Rick Perry";"Perry"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?";"Marco Rubio";"Rubio"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?";"Rick Santorum";"Santorum"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?";"Scott Walker";"Walker"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?";"John Kasich";"Kasich"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?";"Donald Trump";"Trump"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?";"Carly Fiorina";"Fiorina"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?";"Rand Paul";"Paul"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?";"Jeb Bush";"Bush"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?";"Marco Rubio";"Rubio"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?";"Chris Christie";"Christie"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?";"Mike Huckabee";"Huckabee"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?";"Bobby Jindal";"Jindal"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?";"Ben Carson";"Carson"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?";"Rick Perry";"Perry"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?";"Rick Santorum";"Santorum"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?";"Scott Walker";"Walker"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?";"Ted Cruz";"Cruz"
"Who will win the 2016 New Hampshire Republican primary?";"Who will win the NH GOP primary?";"Donald Trump";"Trump"
"Who will win the 2016 New Hampshire Republican primary?";"Who will win the NH GOP primary?";"Jeb Bush";"Bush"
"Who will win the 2016 New Hampshire Republican primary?";"Who will win the NH GOP primary?";"Ben Carson";"Carson"
