"","market_id","marketName","marketShortName","timeStamp","n"
"67",2201,"Will Robert Dold be re-elected to the House of Representatives from Illinois' 10th district?","Will Robert Dold be re-elected to Congress?",2020-02-10 23:01:34,1
"68",2206,"Will Obama's Gallup approval be 53% or higher for June 14 - 16?","Obama's Gallup at 53+ 6/14-6/16?",2020-02-10 23:06:34,1
"69",2286,"Which party will win control of the Colorado General Assembly in 2016?","Which party will control of CO General Assembly?",2020-02-11 00:42:01,3
"70",2295,"Which party will win the House of Representatives race in New York's 19th district?","Which party will win NY-19?",2020-02-11 00:51:01,2
"71",2308,"Will Ted Cruz's convention speech mention indictment?","Will Cruz convention speech mention indictment?",2020-02-11 01:04:01,1
"72",2309,"Which party will win the House of Representatives race in New York's 22nd district?","Which party will win NY-22?",2020-02-11 01:05:01,2
"73",2312,"Will the GOP VP nominee mention Supreme Court in acceptance speech?","Will GOP VP acceptance speech include Supreme Court?",2020-02-11 01:08:01,1
"74",2313,"Will the GOP VP nominee mention Black Lives Matter in acceptance speech?","Will GOP VP acceptance speech include Black Lives Matter?",2020-02-11 01:09:01,1
"75",2314,"Will the GOP VP nominee mention Obamacare in acceptance speech?","Will GOP VP acceptance speech include Obamacare?",2020-02-11 01:10:01,1
"76",2317,"What will the average viewership be for the Democratic nominee's acceptance speech?","Viewership for Democratic nominee acceptance speech?",2020-02-11 01:13:01,6
"77",2320,"Will the Democratic nominee mention Black Lives Matter in acceptance speech?","Will Dem nominee acceptance speech include Black Lives Matter?",2020-02-11 01:16:01,1
"78",2321,"Will the Democratic nominee mention Islam in acceptance speech?","Will Dem nominee acceptance speech include Islam?",2020-02-11 01:17:01,1
"79",2322,"Will the Democratic nominee mention Trump University in acceptance speech?","Will Dem nominee acceptance speech include Trump U?",2020-02-11 01:18:01,1
"80",2331,"Will the Democratic National Convention have more viewers on Mon, Tue or Wed?","Will the convention have more viewers on Mon, Tue or Wed?",2020-02-11 01:27:01,3
"81",2343,"Will Clinton's acceptance speech draw more viewers than Trump's?","Will Clinton's ratings top Trump's?",2020-02-11 01:38:16,1
"82",2344,"Will Obama's Gallup approval be 51% or higher for August 2-4?","Obama's Gallup at 51+ 8/2-8/4?",2020-02-11 01:38:23,1
"83",2368,"Will Obama's Gallup approval be 51% or higher for August 9-11?","Obama's Gallup at 51+ 8/9-8/11?",2020-02-11 01:41:11,1
"84",2411,"What will Clinton's monthly fundraising be for August?","What will Clinton's monthly fundraising be for August?",2020-02-11 01:46:12,5
"85",2412,"What will Trump's monthly fundraising be for August?","What will Trump's monthly fundraising be for August?",2020-02-11 01:46:19,5
"86",2413,"What will Stein's monthly fundraising be for August?","What will Stein's monthly fundraising be for August?",2020-02-11 01:46:26,5
"87",2422,"What will the RNC's monthly fundraising be for August?","RNC's monthly fundraising for August?",2020-02-11 01:47:29,5
"88",2423,"What will Trump's monthly expenditures be for August?","Trump's expenditures for August?",2020-02-11 01:47:36,5
"89",2424,"What will Clinton's monthly expenditures be for August?","Clinton's expenditures for August?",2020-02-11 01:47:43,5
"90",2435,"Will Reince Priebus announce resignation as RNC chair by November 30?","Will Priebus resign by November 30?",2020-02-11 01:49:00,1
"91",2448,"Will Trump say ""Crooked Hillary"" in the first debate?","Will Trump say ""Crooked Hillary"" in the first debate?",2020-02-11 01:50:31,1
"92",2452,"Will Obama's Gallup approval be 51% or higher for September 6 - 8?","Obama's Gallup at 51+ 9/6-9/8?",2020-02-11 01:50:59,1
"93",2464,"Will a Hofstra debate moderator ask about Benghazi?","Benghazi at first debate?",2020-02-11 01:52:23,1
"94",2489,"Will a Hofstra debate moderator ask about ""basket of deplorables""?","Basket of deplorables at first debate?",2020-02-11 01:55:18,1
"95",2490,"Will a Hofstra debate moderator ask about ""pneumonia""?","Pneumonia at first debate?",2020-02-11 01:55:25,1
"96",2491,"Will Obama's Gallup approval be 52% or higher for September 20 - 22?","Obama's Gallup at 52+ 9/20-9/22?",2020-02-11 01:55:32,1
"97",2502,"What will the DNC's monthly fundraising be for September?","DNC's monthly fundraising for September?",2020-02-11 01:56:49,5
"98",2504,"What will Trump's monthly fundraising be for September?","What will Trump's monthly fundraising be for September?",2020-02-11 01:57:03,5
"99",2505,"What will Clinton's monthly fundraising be for September?","What will Clinton's monthly fundraising be for September?",2020-02-11 01:57:10,5
"100",2506,"What will Johnson's monthly fundraising be for September?","What will Johnson's monthly fundraising be for September?",2020-02-11 01:57:17,5
"101",2508,"Will a Hofstra debate moderator ask about ""Blind Trust""?","Blind Trust at first debate?",2020-02-11 01:57:31,1
"102",2509,"Will a Hofstra debate moderator ask about ""birther""?","Birther at first debate?",2020-02-11 01:57:38,1
"103",2510,"Will a Hofstra debate moderator ask about ""alt-right""?","Alt-right at first debate?",2020-02-11 01:57:45,1
"104",2513,"Will Obama's Gallup approval be 52% or higher for September 27 - 29?","Obama's Gallup at 52+ 9/27-9/29?",2020-02-11 01:58:06,1
"105",2515,"What will the average viewership be for the Hofstra debate?","Viewership for Hofstra debate?",2020-02-11 01:58:20,6
"106",2523,"Who will get the most speaking time at the Hofstra debate?","Most speaking time at Hofstra debate?",2020-02-11 01:59:16,2
"107",2525,"Will a VP debate moderator ask about ""national debt""?","Moderator asks about ""National debt"" at the debate?",2020-02-11 01:59:30,1
"108",2527,"Will a VP debate moderator ask about ""tax returns""?","Moderator asks about “tax returns” at the debate?",2020-02-11 01:59:44,1
"109",2528,"Will a VP debate moderator ask about ""religious liberty""?","Moderator asks about “religious liberty” at the debate?",2020-02-11 01:59:51,1
"110",2534,"Will a VP debate moderator or candidate mention ""Obamacare""?","""Obamacare"" at VP debate?",2020-02-11 02:00:33,1
"111",2539,"Will a VP debate moderator or candidate mention ""Charlotte""?","""Charlotte"" at VP debate?",2020-02-11 02:01:08,1
"112",2540,"Will a VP debate moderator or candidate mention ""transgender""?","""Transgender"" at VP debate?",2020-02-11 02:01:15,1
"113",2541,"Will a VP debate moderator ask about the “Clinton Foundation”?","Moderator asks about ""Clinton Foundation"" at the debate?",2020-02-11 02:01:22,1
"114",2542,"Will a VP debate moderator ask about the “Trump Foundation”?","Moderator asks about ""Trump Foundation"" at the debate?",2020-02-11 02:01:29,1
"115",2543,"What will the average viewership be for the vice presidential debate?","Viewership for VP debate?",2020-02-11 02:01:36,5
"116",2554,"Who will get the most speaking time at the VP debate?","Most speaking time at VP debate?",2020-02-11 02:02:53,2
"117",2560,"What will the average viewership be for the WUSL debate?","Viewership for WUSL debate?",2020-02-11 02:03:35,6
"118",2561,"Who will win the 2016 Nobel Peace Prize?","Who will win the 2016 Nobel Peace Prize?",2020-02-11 02:03:42,9
"119",2563,"Will a WUSL debate moderator mention “Putin""?","Moderator mentions ""Putin"" at WUSL debate?",2020-02-11 02:03:56,1
"120",2564,"Will a WUSL debate moderator mention “China""?","Moderator mentions ""China"" at WUSL debate?",2020-02-11 02:04:03,1
"121",2565,"Will Clinton use the phrase “You're hired” at the WUSL debate?","Clinton says ""You're hired"" at WUSL debate?",2020-02-11 02:04:10,1
"122",2567,"Will a WUSL debate moderator or candidate mention “Wikileaks""?","""Wikileaks"" at WUSL debate?",2020-02-11 02:04:24,1
"123",2568,"Will a WUSL debate moderator mention “gun control""?","Moderator mentions ""gun control"" at WUSL debate?",2020-02-11 02:04:31,1
"124",2570,"Who will get the most speaking time at the WUSL debate?","Most speaking time at WUSL debate?",2020-02-11 02:04:45,2
"125",2573,"Will a WUSL debate moderator mention “Syria""?","Moderator mentions ""Syria"" at WUSL debate?",2020-02-11 02:05:06,1
"126",2580,"Who will win the WUSL post-debate poll?","Who'll win the WUSL post-debate poll?",2020-02-11 02:05:55,2
"127",2581,"Will a WUSL debate moderator or candidate mention “Common Core""?","""Common Core"" at WUSL debate?",2020-02-11 02:06:02,1
"128",2582,"Will a WUSL debate moderator mention “NAFTA""?","Moderator mentions ""NAFTA"" at WUSL debate?",2020-02-11 02:06:09,1
"129",2591,"Will Trump say the name “Broaddrick” at the WUSL debate?","Trump says ""Broaddrick"" at WUSL debate?",2020-02-11 02:07:12,1
"130",2592,"Will a WUSL debate moderator mention “Podesta""?","Moderator mentions ""Podesta"" at WUSL debate?",2020-02-11 02:07:19,1
"131",2599,"What will the average viewership be for the UNLV debate?","Viewership for UNLV debate?",2020-02-11 02:08:08,5
"132",2601,"Will Clinton and Trump shake hands before the UNLV debate?","Handshake before UNLV debate?",2020-02-11 02:08:22,1
"133",2690,"Which party will win the House of Representatives race in Pennsylvania's 16th district?","Which party will win PA-16?",2020-02-11 02:18:45,2
"134",2696,"What will Trump's ""post-general"" fundraising be?","What will Trump's ""post-general"" fundraising be?",2020-02-11 02:19:27,5
"135",2697,"What will Clinton's ""post-general"" fundraising be?","What will Clinton's ""post-general"" fundraising be?",2020-02-11 02:19:34,5
"136",2728,"Will Obama's Gallup approval be 56% or higher for November 15 - 17?","Obama's Gallup at 56+ 11/15-11/17?",2020-02-11 02:23:17,1
"137",2768,"Will Trump move the U.S. embassy in Israel to Jerusalem in 2017?","Will Trump move U.S. embassy to Jerusalem in 2017?",2020-02-11 02:30:13,1
"138",2802,"Will Trump withdraw from the Paris Agreement in 2017?","Trump withdrawal from Paris Agreement in 2017?",2020-02-11 02:34:11,1
"139",2824,"Will Obama's Gallup approval be 56% or higher for December 20 - 22?","Obama's Gallup at 56+ 12/20-12/22?",2020-02-11 02:36:46,1
"140",2840,"Will Obama's Gallup approval be 56% or higher for December 27 - 29?","Obama's Gallup at 56+ 12/27-12/29?",2020-02-11 02:38:38,1
"141",2871,"Will Trump inauguration viewership exceed Obama's?","Will Trump inauguration viewership exceed Obama's?",2020-02-11 02:42:15,1
"142",2891,"How many Senate seats will the GOP hold after 2018 midterms?","GOP Senate seats after midterms?",2020-02-11 02:44:28,12
"143",2894,"Will Trump keep his Obamacare repeal promise by year-end 2017?","Will Trump keep Obamacare promise in 2017?",2020-02-11 02:44:49,6
"144",2943,"Will Trump's Gallup approval be 43% or higher for February 7 - 9?","Trump's Gallup at 43+ 2/7 - 2/9?",2020-02-11 02:50:16,1
"145",3028,"Will Germany meet 2% NATO spending guideline for 2017?","Germany spend 2% on NATO in 2017?",2020-02-11 03:00:00,1
"146",3106,"Will Trump's Gallup approval be 39% or higher for March 28 - 30?","Trump's Gallup at 39+ 3/28 - 3/30?",2020-02-11 03:08:52,1
"147",3127,"Will Feb. 2017 ""PCE"" inflation be lower under Trump than in Feb. 2009 under Obama?","Will Feb. 2017 inflation be lower under Trump than Obama?",2020-02-11 03:11:19,1
"148",3152,"Will Trump's Gallup approval be 41% or higher for April 11 - 13?","Trump's Gallup at 41+ 4/11 - 4/13?",2020-02-11 03:14:14,1
"149",3259,"What will ""Right Direction"" poll at on May 15?","Direction of country on 5/15?",2020-02-11 03:26:56,5
"150",3271,"Will Trump's Gallup approval be 38% or higher for May 16 - 18?","Trump's Gallup at 38+ 5/6 - 5/18?",2020-02-11 03:28:13,1
"151",3312,"What will ""Right Direction"" poll at on June 5?","Direction of country on 6/5?",2020-02-11 03:33:01,5
"152",3347,"Which of the 24 people on Trump’s Cabinet list will leave first?","First on WH Cabinet list to leave?",2020-02-11 03:37:06,24
"153",3398,"Will Trump's Gallup approval be 39% or higher for June 27 - 29?","Trump's Gallup at 39+ 6/27 - 6/29?",2020-02-11 03:42:56,1
"154",3563,"Will Trump's Gallup approval be 36% or higher for August 8 - 10?","Trump's Gallup at 36+ 8/8 - 8/10?",2020-02-11 04:02:05,1
"155",3685,"Will Trump's Gallup approval be 37% or higher for September 19-21?","Trump's Gallup at 37+ 9/19 - 9/21?",2020-02-11 04:15:45,1
"156",3713,"Will Trump's Gallup approval be 37% or higher for September 26-28?","Trump's Gallup at 37+ 9/26 - 9/28?",2020-02-11 04:18:54,1
"157",3728,"Will DHS delay the Oct. 5 DACA renewal deadline?","Will DHS delay DACA deadline?",2020-02-11 04:20:39,1
"158",3776,"Who will be Senate-confirmed Secretary of State on March 31, 2018?","Confirmed Sec. State on 3/31?",2020-02-11 04:26:08,3
"159",3781,"Will Trump's Gallup approval be 37% or higher for October 17-19?","Trump's Gallup at 37+ 10/17 - 10/19?",2020-02-11 04:26:43,1
"160",3869,"Will Trump's Gallup approval be 37% or higher for November 14-16?","Trump's Gallup at 37+ 11/14 - 11/16?",2020-02-11 04:37:00,1
"161",3871,"Will Trump's 538 job approval index for November 16 be 38.1% or higher?","Trump 538 approval at 38.1+ 11/16?",2020-02-11 04:37:14,1
"162",3971,"Will Gary Cohn be Director of the National Economic Council on March 31?","Cohn NEC director on 3/31?",2020-02-11 04:48:54,1
"163",3976,"Will Trump's Gallup approval be 36% or higher for December 19-21?","Trump's Gallup at 36+ 12/19 - 12/21?",2020-02-11 04:49:29,1
"164",4031,"Will Trump's Gallup approval be 37% or higher for January 8-14?","Trump's Gallup at 37+ 1/8 - 1/14?",2020-02-11 04:55:19,1
"165",4066,"Will Trump testify to special counsel in 2018?","Trump special counsel testimony in 2018?",2020-02-11 04:59:03,1
"166",4074,"Will Jon Tester vote to pass a continuing appropriations bill by Jan. 26?","Tester vote for funding bill by 1/26?",2020-02-11 05:00:00,1
"167",4078,"Will the federal government be shut down on February 9, 2018?","Government shutdown on 2/9/18?",2020-02-11 05:00:28,1
"168",4082,"Will Trump's Rasmussen approval be 43% or higher on January 31?","Trump's Rasmussen at 43+ on 1/31?",2020-02-11 05:00:56,1
"169",4124,"Will Trump's Rasmussen approval be 48% or higher on February 14?","Trump's Rasmussen at 48+ on 2/14?",2020-02-11 05:05:50,1
"170",4137,"How many roll call votes will be held in the Senate Feb. 12 - 16?","Senate roll call votes 2/12 - 2/16?",2020-02-11 05:07:21,6
"171",4143,"Will Trump's Rasmussen approval be 47% or higher on February 21?","Trump's Rasmussen at 47+ on 2/21?",2020-02-11 05:08:03,1
"172",4164,"What will the 2nd estimate of Q4 2017 GDP be?","2nd estimate of 4Q17 GDP?",2020-02-11 05:10:30,5
"173",4165,"What will the unemployment rate for Feb. 2018 be?","Unemployment rate for Feb. 2018?",2020-02-11 05:10:37,5
"174",4170,"Who will place 2nd in the 1st round of the 2018 Russian presidential election?","2nd place in Russian election 1st round?",2020-02-11 05:11:12,5
"175",4218,"Will Trump's Rasmussen approval be 47% or higher on March 21?","Trump's Rasmussen at 47+ on 3/21?",2020-02-11 05:16:48,1
"176",4239,"Will Trump's Rasmussen approval be 47% or higher on March 28?","Trump's Rasmussen at 47+ on 3/28?",2020-02-11 05:19:15,1
"177",4281,"Which party will win the 2018 House of Reps race in Connecticut's 5th district?","Which party will win CT-05?",2020-02-11 05:24:10,2
"178",4291,"Will the Federal Reserve maintain its language about job growth in May statement?","Same Fed job growth language in May?",2020-02-11 05:25:20,1
"179",4294,"What will the advance estimate of Q1 2018 GDP be?","Advance estimate of 1Q18 GDP?",2020-02-11 05:25:34,9
"180",4296,"What will the unemployment rate for April 2018 be?","Unemployment rate for Apr. 2018?",2020-02-11 05:25:48,5
"181",4306,"What will the DNC's monthly fundraising be for March?","DNC's monthly fundraising for March?",2020-02-11 05:26:58,5
"182",4307,"What will the RNC's monthly fundraising be for March?","RNC's monthly fundraising for March?",2020-02-11 05:27:05,5
"183",4323,"Will Trump's Rasmussen approval be 50% or higher on April 25?","Trump's Rasmussen at 50+ on 4/25?",2020-02-11 05:28:57,1
"184",4344,"Will Trump's Rasmussen approval be 48% or higher on May 2?","Trump's Rasmussen at 48+ on 5/2?",2020-02-11 05:31:24,1
"185",4348,"What will the NRCC's monthly fundraising be for April?","NRCC's monthly fundraising for April?",2020-02-11 05:31:52,5
"186",4358,"What will the 2nd estimate of Q1 2018 GDP be?","2nd estimate of 1Q18 GDP?",2020-02-11 05:32:55,5
"187",4361,"Who will win the 2018 Democratic primary for North Carolina's 2nd District?","Who'll win NC-02 Dem primary?",2020-02-11 05:33:16,3
"188",4374,"What will the margin of victory be in the Ohio Democratic gubernatorial primary?","OH Dem gov primary margin?",2020-02-11 05:34:33,6
"189",4393,"Will Trump's Rasmussen approval be 47% or higher on May 16?","Trump's Rasmussen at 47+ on 5/16?",2020-02-11 05:36:46,1
"190",4404,"What will the margin of victory be in the 2018 Pennsylvania Republican Senate primary?","PA GOP Senate primary margin?",2020-02-11 05:38:03,6
"191",4432,"What will Democrats' 538 Congressional polling edge be for May 30?","Dems' 538 Congressional edge 5/30?",2020-02-11 05:41:19,7
"192",4433,"Will Trump's Rasmussen approval be 48% or higher on May 30?","Trump's Rasmussen at 48+ on 5/30?",2020-02-11 05:41:26,1
"193",4508,"Will Trump's Rasmussen approval be 49% or higher on June 20?","Trump's Rasmussen at 49+ on 6/20?",2020-02-11 05:50:05,1
"194",4528,"Who will be the first guest on Meet the Press on June 24?","First Meet the Press guest on 6/24?",2020-02-11 05:52:25,22
"195",4588,"Will Trump's Rasmussen approval be 48% or higher on July 11?","Trump's Rasmussen at 48+ on 7/11?",2020-02-11 05:59:25,1
"196",4618,"Will Trump's Rasmussen approval be 47% or higher on July 18?","Trump's Rasmussen at 47+ on 7/18?",2020-02-11 06:02:48,1
"197",4783,"Will Trump's Rasmussen approval be 46% or higher on Aug. 29?","Trump's Rasmussen at 46+ on 8/29?",2020-02-11 06:21:36,1
"198",4866,"Will Trump's Rasmussen approval be 47% or higher on Sept. 26?","Trump's Rasmussen at 47+ on 9/26?",2020-02-11 06:31:18,1
"199",4906,"How many Nay votes will Kavanaugh receive in Judiciary Committee today?","Nays for Kavanaugh in committee today?",2020-02-11 06:35:58,12
"200",4923,"Will James Mattis be Secretary of Defense at year-end?","Will Mattis be SecDef at year-end?",2020-02-11 06:37:50,1
"201",4935,"How many Senate seats will change party in the 2018 midterms?","Senate seat party flips in midterms?",2020-02-11 06:39:00,9
"202",4943,"Which party will win the 2018 House of Reps race in Minnesota's 7th district?","Which party will win MN-07?",2020-02-11 06:39:56,2
"203",4954,"How many @realDonaldTrump tweets mention ""Saudi Arabia"" noon 10/16 - noon 10/23?","Trump ""Saudi Arabia"" tweets 10/16-10/23?",2020-02-11 06:41:13,9
"204",5003,"Which party will win the 2018 House of Reps race in Alaska's at-large district?","Which party will win AK at-large?",2020-02-11 06:46:56,2
"205",5054,"Will Trump's Rasmussen approval be 50% or higher on Nov. 28?","Trump's Rasmussen at 50+ on 11/28?",2020-02-11 06:52:53,1
"206",5067,"Will Trump's Rasmussen approval be 48% or higher on Dec. 5?","Trump's Rasmussen at 48+ on 12/5?",2020-02-11 06:54:25,1
"207",5081,"Will Trump's Rasmussen approval be 50% or higher on Dec. 12?","Trump's Rasmussen at 50+ on 12/12?",2020-02-11 06:56:03,1
"208",5243,"What will Trump's Rasmussen Presidential Approval Index be on Feb. 13?","Trump Rasmussen Approval Index 2/13?",2020-02-11 07:14:15,7
"209",5262,"Will Trump's Rasmussen approval be 50% or higher on Feb. 20?","Trump's Rasmussen at 50+ on 2/20?",2020-02-11 07:16:22,1
"210",5263,"What will Trump's Rasmussen Presidential Approval Index be on Feb. 20?","Trump Rasmussen Approval Index 2/20?",2020-02-11 07:16:29,7
"211",5296,"What will Trump's Rasmussen Presidential Approval Index be on Mar. 6?","Trump Rasmussen Approval Index 3/6?",2020-02-11 07:20:20,7
"212",5331,"Will Trump's Rasmussen approval be 48% or higher on Mar. 13?","Trump's Rasmussen at 48+ on 3/13?",2020-02-11 07:24:25,1
"213",5333,"What will Trump's Rasmussen Presidential Approval Index be on Mar. 13?","Trump Rasmussen Approval Index 3/13?",2020-02-11 07:24:39,7
