"V1";"V2"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will be the next justice to leave the Supreme Court?";"Who will be the next justice to leave the Supreme Court?"
"Who will be the next justice to leave the Supreme Court?";"Who will be the next justice to leave the Supreme Court?"
"Who will be the next justice to leave the Supreme Court?";"Who will be the next justice to leave the Supreme Court?"
"Who will be the next justice to leave the Supreme Court?";"Who will be the next justice to leave the Supreme Court?"
"Who will be the next justice to leave the Supreme Court?";"Who will be the next justice to leave the Supreme Court?"
"Who will be the next justice to leave the Supreme Court?";"Who will be the next justice to leave the Supreme Court?"
"Who will be the next justice to leave the Supreme Court?";"Who will be the next justice to leave the Supreme Court?"
"Who will be the next justice to leave the Supreme Court?";"Who will be the next justice to leave the Supreme Court?"
"Who will be the next justice to leave the Supreme Court?";"Who will be the next justice to leave the Supreme Court?"
"Will Mark Udall be re-elected to the Senate from Colorado?";"Will Udall beat Gardner in Colorado?"
"Will Pat Roberts be re-elected to the Senate from Kansas?";"Will Roberts outlast Orman in Kansas?"
"Will Rick Scott be re-elected governor of Florida?";"Scott over Crist in Florida?"
"Will North Korea test a nuclear weapon before the end of 2015?";"More nukes from North Korea?"
"Will Iran agree to a nuclear deal before the end of 2014?";"Will Iran make peace this year?"
"Will Vladimir Putin be president of the Russian Federation on April 1, 2015?";"Will Putin last until spring?"
"Who will be the next mayor of D.C.?";"Who will be the next mayor of D.C.?"
"Who will be the next mayor of D.C.?";"Who will be the next mayor of D.C.?"
"Who will be the next mayor of D.C.?";"Who will be the next mayor of D.C.?"
"Will Republicans control both Congress and the White House after 2016?";"Undivided government under the Republicans after 2016?"
"Will Democrats control both Congress and the White House after 2016?";"Undivided government under the Democrats after 2016?"
"Will Mary Landrieu be defeated in the Louisiana Senate election?";"End of the line for Mary Landrieu?"
"How many Senate seats will Republicans control in the next Congress?";"How many Senate seats will Republicans control in the next Congress?"
"How many Senate seats will Republicans control in the next Congress?";"How many Senate seats will Republicans control in the next Congress?"
"How many Senate seats will Republicans control in the next Congress?";"How many Senate seats will Republicans control in the next Congress?"
"How many Senate seats will Republicans control in the next Congress?";"How many Senate seats will Republicans control in the next Congress?"
"How many Senate seats will Republicans control in the next Congress?";"How many Senate seats will Republicans control in the next Congress?"
"How many Senate seats will Republicans control in the next Congress?";"How many Senate seats will Republicans control in the next Congress?"
"How many Senate seats will Republicans control in the next Congress?";"How many Senate seats will Republicans control in the next Congress?"
"Will Scott Brown defeat Jeanne Shaheen in the New Hampshire Senate election?";"Will Scott Brown be back?"
"Will Michelle Nunn win the Senate election in Georgia?";"A new Nunn from Georgia?"
"Will Kay Hagan be re-elected to the Senate from North Carolina?";"Will Hagan beat Tillis in North Carolina?"
"Will Bruce Braley win the Senate election in Iowa?";"Will they soon call him Senator Braley?"
"Will Ron Klain be named White House Chief of Staff before the end of 2014?";"Klain becomes Chief of Staff this year?"
"Will twelve or more cases of Ebola be diagnosed in the U.S. before the end of 2014?";"A dozen Ebola cases in the U.S. by New Year's?"
"Who will be Prime Minister after the next British election?";"Who will be the next British PM?"
"Who will be Prime Minister after the next British election?";"Who will be the next British PM?"
"Who will be Prime Minister after the next British election?";"Who will be the next British PM?"
"Who will be Prime Minister after the next British election?";"Who will be the next British PM?"
"Will President Obama have at least one veto overridden before he leaves office?";"At least one Obama veto override?"
"Will Harry Reid be elected Senate Minority Leader in the 114th Congress?";"Will Harry Reid survive?"
"Will the Senate confirm a new attorney general before January 3, 2015?";"A new A-G in the lame duck?"
"Will Joe Biden run for president in 2016?";"Will Biden run?"
"Will the House of Representatives vote to impeach President Barack Obama?";"Will Obama be impeached?"
"Will the FCC reclassify internet access under Title II of the Telecom Act?";"Will the FCC impose Net Neutrality?"
"Will the U.S. government authorize TransCanada's Keystone XL pipeline?";"Will Keystone get the green light?"
"Will the Supreme Court disallow subsidies on health insurance purchased via the federal exchange?";"Will the Court limit Obamacare subsidies?"
"Will President Obama issue an executive order on immigration by the end of 2014?";"Will Obama act on immigration this year?"
"Will Congress fail to enact new spending authority, shutting down the federal government?";"Will the government shut down in December?"
"Who will be confirmed as the next Secretary of Defense?";"Who will be the next SecDef?"
"Who will be confirmed as the next Secretary of Defense?";"Who will be the next SecDef?"
"Who will be confirmed as the next Secretary of Defense?";"Who will be the next SecDef?"
"Who will be confirmed as the next Secretary of Defense?";"Who will be the next SecDef?"
"Who will be confirmed as the next Secretary of Defense?";"Who will be the next SecDef?"
"Who will be confirmed as the next Secretary of Defense?";"Who will be the next SecDef?"
"Will Hillary Clinton become a presidential candidate by March 31?";"Will Hillary be a candidate by March 31?"
"Will Jeb Bush become a presidential candidate by March 31?";"Will Jeb be a candidate by March 31?"
"Will Mitt Romney become a presidential candidate by March 31, 2015?";"Will Mitt be a candidate by March 31?"
"Will Rahm Emanuel win a second term as mayor of Chicago?";"Will Rahm be reelected?"
"Will new federal funds be appropriated for police body cameras this year?";"Will the federal government fund body cams?"
"Will a federal court overturn cancellation of the Washington Redskins trademark?";"Will Redskins win on appeal?"
"Will Queen Elizabeth II announce her abdication by year-end?";"Will the queen abdicate?"
"Will the Senate restore the 60-vote threshold for nominees in 2015?";"Will GOP restore the Filibuster?"
"Will Elizabeth Warren become a presidential candidate by March 31?";"Will Warren be a candidate by March 31?"
"Will Congress repeal the medical device tax in 2015?";"Medical device tax repeal?"
"Will a federal minimum wage increase go into effect in 2015?";"Minimum wage hike in 2015?"
"Will NYC mayor Bill de Blasio announce his resignation by March 31?";"Will de Blasio announce resignation by March 31?"
"Will Greece declare a new national currency in 2015?";"Will Greece exit the Euro in 2015?"
"Will Obama veto more legislation than his predecessor?";"Will Obama veto more than Bush?"
"Which party will win the 2016 U.S. presidential election?";"Which party will win the White House?"
"Which party will win the 2016 U.S. presidential election?";"Which party will win the White House?"
"Which party will win the 2016 U.S. presidential election?";"Which party will win the White House?"
"Will John Boehner be reelected Speaker of the House?";"Will Boehner remain Speaker?"
"Will the U.S. authorize TransCanada's Keystone XL pipeline in 2015?";"Will Keystone get the green light in 2015?"
"Will the FCC reclassify internet access under Title II of the Telecom Act in 2015?";"Net Neutrality in 2015?"
"Will Obama's job approval be at least 45% on January 31?";"Obama approval at 45+% on January 31?"
"Who will be elected Prime Minister of Canada in 2015?";"Who will be the next Canadian PM?"
"Who will be elected Prime Minister of Canada in 2015?";"Who will be the next Canadian PM?"
"Who will be elected Prime Minister of Canada in 2015?";"Who will be the next Canadian PM?"
"Will President Obama transfer or release all Gitmo detainees before leaving office?";"Will Obama close Gitmo?"
"Will Republicans maintain a Senate majority after the next election?";"Will the GOP keep the Senate?"
"Will Benjamin Netanyahu win another term as prime minister of Israel?";"Will Netanyahu be reelected Israeli PM?"
"Will Goodluck Jonathan be reelected as president of Nigeria?";"Will Jonathan be reelected Nigerian president?"
"Which party will win Barbara Boxer's Senate seat in California in 2016?";"Which party will win Boxer's seat?"
"Which party will win Barbara Boxer's Senate seat in California in 2016?";"Which party will win Boxer's seat?"
"Which party will win Barbara Boxer's Senate seat in California in 2016?";"Which party will win Boxer's seat?"
"Will the federal gasoline tax increase in 2015?";"Will gas taxes rise in 2015?"
"Will the Supreme Court find a federal right to same-sex marriage?";"Will the Court legalize same-sex marriage?"
"Will Sarah Palin become a presidential candidate by March 31?";"Will Palin be a candidate by March 31?"
"Will Obama's job approval be at least 45% on February 28?";"Obama approval at 45+% on February 28?"
"Congressional approval at 15+% on February 28?";"Will congressional job approval be at least 15% on February 28?"
"Will Lindsey Graham become a Presidential candidate by March 31?";"Will Graham be a candidate by March 31?"
"Which party will win the U.S. Senate race in Nevada in 2016?";"Which party will win the NV Senate race?"
"Which party will win the U.S. Senate race in Nevada in 2016?";"Which party will win the NV Senate race?"
"Which party will win the U.S. Senate race in Nevada in 2016?";"Which party will win the NV Senate race?"
"Which party will win the U.S. Senate race in Colorado in 2016?";"Which party will win the CO Senate race?"
"Which party will win the U.S. Senate race in Colorado in 2016?";"Which party will win the CO Senate race?"
"Which party will win the U.S. Senate race in Colorado in 2016?";"Which party will win the CO Senate race?"
"Which party will win the U.S. Senate race in New Hampshire in 2016?";"Which party will win the NH Senate race?"
"Which party will win the U.S. Senate race in New Hampshire in 2016?";"Which party will win the NH Senate race?"
"Which party will win the U.S. Senate race in New Hampshire in 2016?";"Which party will win the NH Senate race?"
"Which party will win the U.S. Senate race in Pennsylvania in 2016?";"Which party will win the PA Senate race?"
"Which party will win the U.S. Senate race in Pennsylvania in 2016?";"Which party will win the PA Senate race?"
"Which party will win the U.S. Senate race in Pennsylvania in 2016?";"Which party will win the PA Senate race?"
"Which party will win the U.S. Senate race in Illinois in 2016?";"Which party will win the IL Senate race?"
"Which party will win the U.S. Senate race in Illinois in 2016?";"Which party will win the IL Senate race?"
"Which party will win the U.S. Senate race in Illinois in 2016?";"Which party will win the IL Senate race?"
"Which party will win the U.S. Senate race in Wisconsin in 2016?";"Which party will win the WI Senate race?"
"Which party will win the U.S. Senate race in Wisconsin in 2016?";"Which party will win the WI Senate race?"
"Which party will win the U.S. Senate race in Wisconsin in 2016?";"Which party will win the WI Senate race?"
"Which party will win the U.S. Senate race in North Carolina in 2016?";"Which party will win the NC Senate race?"
"Which party will win the U.S. Senate race in North Carolina in 2016?";"Which party will win the NC Senate race?"
"Which party will win the U.S. Senate race in North Carolina in 2016?";"Which party will win the NC Senate race?"
"Which party will win the U.S. Senate race in Florida in 2016?";"Which party will win the FL Senate race?"
"Which party will win the U.S. Senate race in Florida in 2016?";"Which party will win the FL Senate race?"
"Which party will win the U.S. Senate race in Florida in 2016?";"Which party will win the FL Senate race?"
"Which party will win the U.S. Senate race in Ohio in 2016?";"Which party will win the OH Senate race?"
"Which party will win the U.S. Senate race in Ohio in 2016?";"Which party will win the OH Senate race?"
"Which party will win the U.S. Senate race in Ohio in 2016?";"Which party will win the OH Senate race?"
"Will the Republican presidential nominee win at least 370 electoral votes in 2016?";"Will GOP win the White House in a landslide?"
"Will the Democratic presidential nominee win at least 370 electoral votes in 2016?";"Will Democrats win the White House in a landslide?"
"Will Julie Christensen be elected supervisor of San Francisco District 3 in 2015?";"Will San Francisco elect Christensen supervisor?"
"Will Ed Lee be reelected mayor of San Francisco in 2015?";"Will San Francisco reelect Lee?"
"Will Benjamin Netanyahu deliver his Congressional address?";"Will Netanyahu address Congress?"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?"
"Who will win the 2016 Iowa Republican caucuses?";"Who will win the Iowa GOP caucuses?"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?"
"Who will win the 2015 Iowa Straw Poll?";"Who will win the Iowa Straw Poll?"
"Who will win the 2016 New Hampshire Republican primary?";"Who will win the NH GOP primary?"
"Who will win the 2016 New Hampshire Republican primary?";"Who will win the NH GOP primary?"
"Who will win the 2016 New Hampshire Republican primary?";"Who will win the NH GOP primary?"
"Who will win the 2016 New Hampshire Republican primary?";"Who will win the NH GOP primary?"
"Who will win the 2016 New Hampshire Republican primary?";"Who will win the NH GOP primary?"
"Who will win the 2016 New Hampshire Republican primary?";"Who will win the NH GOP primary?"
"Who will win the 2016 New Hampshire Republican primary?";"Who will win the NH GOP primary?"
"Who will win the 2016 New Hampshire Republican primary?";"Who will win the NH GOP primary?"
"Who will win the 2016 New Hampshire Republican primary?";"Who will win the NH GOP primary?"
"Who will win the 2016 New Hampshire Republican primary?";"Who will win the NH GOP primary?"
"Who will win the 2016 New Hampshire Republican primary?";"Who will win the NH GOP primary?"
"Who will win the 2016 New Hampshire Republican primary?";"Who will win the NH GOP primary?"
"Who will win the 2016 New Hampshire Republican primary?";"Who will win the NH GOP primary?"
"Who will win the 2016 New Hampshire Republican primary?";"Who will win the NH GOP primary?"
"Will DHS partially shut down on or before March 2 due to lack of funding?";"Will DHS shut down by March 2?"
"Will Obama veto the Keystone approval by March 16?";"Is a Keystone veto imminent?"
"Which party will win the gubernatorial race in Kentucky in 2015?";"Which party will win the KY governor race?"
"Which party will win the gubernatorial race in Kentucky in 2015?";"Which party will win the KY governor race?"
"Which party will win the gubernatorial race in Kentucky in 2015?";"Which party will win the KY governor race?"
"Which party will win the gubernatorial race in Mississippi in 2015?";"Which party will win the MS governor race?"
"Which party will win the gubernatorial race in Mississippi in 2015?";"Which party will win the MS governor race?"
"Which party will win the gubernatorial race in Mississippi in 2015?";"Which party will win the MS governor race?"
"Which party will win the gubernatorial race in Louisiana in 2015?";"Which party will win the LA governor race?"
"Which party will win the gubernatorial race in Louisiana in 2015?";"Which party will win the LA governor race?"
"Which party will win the gubernatorial race in Louisiana in 2015?";"Which party will win the LA governor race?"
"Will Obama's job approval be at least 45% on March 6?";"Obama approval at 45+% on March 6?"
"Will DHS partially shut down on or before March 9 due to lack of funding?";"Will DHS shut down by March 9?"
"Will Congressional job approval be at least 18% on March 31?";"Congressional approval at 18+% on March 31?"
"Will Obama's job approval be at least 44% on March 13?";"Obama approval at 44+% on March 13?"
"Will Hillary Clinton publicly testify before Benghazi committee by May 31?";"Will Hillary testify?"
"Will Loretta Lynch be confirmed Attorney General by March 31?";"Will Lynch be confirmed by March 31?"
"Will Obama's job approval be at least 45% on March 20?";"Obama approval at 45+% on March 20?"
"Will primary polling give Clinton at least 55% on March 20?";"Clinton polling at 55+% on March 20?"
"Will primary polling give Walker at least 18% on March 20?";"Walker polling at 18+% on March 20?"
"Will Obama's job approval be at least 45% on March 27?";"Obama approval at 45+% on March 27?"
"Will primary polling give Walker at least 18% on March 27?";"Walker polling at 18+% on March 27?"
"Will primary polling give Clinton at least 55% on March 27?";"Clinton polling at 55+% on March 27?"
"Will Hillary Clinton become a presidential candidate by April 30?";"Will Clinton be a candidate by April 30?"
"Will Elizabeth Warren become a presidential candidate by April 30?";"Will Warren be a candidate by April 30?"
"Will Martin O'Malley become a presidential candidate by April 30?";"Will O'Malley be a candidate by April 30?"
"Will Jeb Bush become a presidential candidate by April 30?";"Will Jeb be a candidate by April 30?"
"Will Scott Walker become a presidential candidate by April 30?";"Will Walker be a candidate by April 30?"
"Will Marco Rubio become a presidential candidate by April 30?";"Will Rubio be a candidate by April 30?"
"Will Rand Paul become a presidential candidate by April 30?";"Will Rand be a candidate by April 30?"
"Will Obama's job approval be at least 45% on April 3?";"Obama approval at 45+% on April 3?"
"Will primary polling give Walker at least 18% on April 3?";"Walker polling at 18+% on April 3?"
"Will primary polling give Clinton at least 55% on April 3?";"Clinton polling at 55+% on April 3?"
"Will Dilma Rousseff remain president of Brazil through year-end?";"Will Dilma survive?"
"Will Nicolás Maduro remain President of Venezuela through year-end?";"Will Maduro hang on?"
"Will Congressional job approval be at least 20% on April 30?";"Congressional approval at 20+% on April 30?"
"Will Loretta Lynch be confirmed Attorney General by April 30?";"Will Lynch be confirmed by April 30?"
"Will Obama's job approval be at least 46% on April 10?";"Obama approval at 46+% on April 10?"
"Will primary polling give Walker at least 17% on April 10?";"Walker polling at 17+% on April 10?"
"Will primary polling give Bush at least 17% on April 10?";"Bush polling at 17+% on April 10?"
"Will primary polling give Clinton at least 60% on April 10?";"Clinton polling at 60+% on April 10?"
"Will Democratic primary polling give someone other than Clinton at least 13% on April 10?";"Any non-Clinton polling at 13+% on April 10?"
"Will Vladimir Putin remain president of the Russian Federation through year-end?";"Will Putin last the year?"
"Will any of the FARC Secretariat be imprisoned for at least a year?";"Will FARC leaders go to jail?"
"Will Turkey's AK party win a 2/3 supermajority of seats in the June election?";"Will Erdogan sweep?"
"Which party shall win the largest number of seats in the June legislative elections in Mexico?";"Who will win the Mexican election?"
"Which party shall win the largest number of seats in the June legislative elections in Mexico?";"Who will win the Mexican election?"
"Which party shall win the largest number of seats in the June legislative elections in Mexico?";"Who will win the Mexican election?"
"Which party shall win the largest number of seats in the June legislative elections in Mexico?";"Who will win the Mexican election?"
"Will Obama's job approval be at least 45% on April 17?";"Obama approval at 45+% on April 17?"
"Will primary polling give Walker at least 16% on April 30?";"Walker polling at 16+% on April 30?"
"Will primary polling give Bush at least 17% on April 30?";"Bush polling at 17+% on April 30?"
"Will primary polling give Clinton at least 60% on April 30?";"Clinton polling at 60+% on April 30?"
"Will primary polling give someone other than Clinton at least 12% on April 30?";"Any non-Clinton polling at 12+% on April 30?"
"What will Obama's job approval be at the end of April 17?";"Obama approval on April 17?"
"What will Obama's job approval be at the end of April 17?";"Obama approval on April 17?"
"What will Obama's job approval be at the end of April 17?";"Obama approval on April 17?"
"What will Obama's job approval be at the end of April 17?";"Obama approval on April 17?"
"What will Obama's job approval be at the end of April 17?";"Obama approval on April 17?"
"What will Obama's job approval be at the end of April 17?";"Obama approval on April 17?"
"What will Obama's job approval be at the end of April 17?";"Obama approval on April 17?"
"What will Obama's job approval be at the end of April 17?";"Obama approval on April 17?"
"What will Obama's job approval be at the end of April 17?";"Obama approval on April 17?"
"What will Obama's job approval be at the end of April 17?";"Obama approval on April 17?"
"What will Obama's job approval be at the end of April 17?";"Obama approval on April 17?"
"Will Carly Fiorina become a presidential candidate by April 30?";"Will Fiorina be a candidate by April 30?"
"Will Lincoln Chafee become a presidential candidate by April 30?";"Will Chafee be a candidate by April 30?"
"Will Obama's job approval be at least 45% on April 24?";"Obama approval at 45+% on April 24?"
"Will Bernie Sanders become a presidential candidate by April 30?";"Will Sanders be a candidate by April 30?"
"Will Jim Webb become a presidential candidate by April 30?";"Will Webb be a candidate by April 30?"
"Will Bill de Blasio become a presidential candidate by April 30?";"Will de Blasio be a candidate by April 30?"
"Will Obama send Congress an Iran nuclear agreement by July 5?";"Iran nuclear deal by July 5?"
"Will Obama's job approval be at least 45% on May 1?";"Obama approval at 45+% on May 1?"
"Will Congress grant trade promotion authority by May 31?";"Trade promotion authority by May 31?"
"Will the estate tax be repealed by May 31?";"Death tax dead by May 31?"
"Will Elizabeth Warren become a presidential candidate by May 31?";"Will Warren be a candidate by May 31?"
"Will Martin O'Malley become a presidential candidate by May 31?";"Will O'Malley be a candidate by May 31?"
"Will Jeb Bush become a presidential candidate by May 31?";"Will Bush be a candidate by May 31?"
"Will Scott Walker become a presidential candidate by May 31?";"Will Walker be a candidate by May 31?"
"Will Carly Fiorina become a presidential candidate by May 31?";"Will Carly Fiorina be a candidate by May 31?"
"Will Lincoln Chafee become a presidential candidate by May 31?";"Will Chafee be a candidate by May 31?"
"Will Jim Webb become a presidential candidate by May 31?";"Will Jim Webb be a candidate by May 31?"
"Will Bill de Blasio become a presidential candidate by May 31?";"Will de Blasio be a candidate by May 31?"
"Will Obama's job approval be at least 45% on May 8?";"Obama approval at 45+% on May 8?"
"Will Congressional job approval be at least 18% on May 31?";"Congressional approval at 18+% on May 31?"
"Will primary polling give Clinton at least 60% on May 31?";"Clinton polling at 60+% on May 31?"
"Will primary polling give Walker at least 15% on May 31?";"Walker polling at 15+% on May 31?"
"Will primary polling give Bush at least 15% on May 31?";"Bush polling at 15+% on May 31?"
"Will primary polling give Rubio at least 15% on May 31?";"Rubio polling at 15+% on May 31?"
"Will primary polling give someone other than Clinton at least 12% on May 31?";"Any non-Clinton polling at 12+% on May 31?"
"What will Obama's job approval be at the end of May 8?";"Obama approval on May 8?"
"What will Obama's job approval be at the end of May 8?";"Obama approval on May 8?"
"What will Obama's job approval be at the end of May 8?";"Obama approval on May 8?"
"What will Obama's job approval be at the end of May 8?";"Obama approval on May 8?"
"What will Obama's job approval be at the end of May 8?";"Obama approval on May 8?"
"What will Obama's job approval be at the end of May 8?";"Obama approval on May 8?"
"What will Obama's job approval be at the end of May 15?";"Obama approval on May 15?"
"What will Obama's job approval be at the end of May 15?";"Obama approval on May 15?"
"What will Obama's job approval be at the end of May 15?";"Obama approval on May 15?"
"What will Obama's job approval be at the end of May 15?";"Obama approval on May 15?"
"What will Obama's job approval be at the end of May 15?";"Obama approval on May 15?"
"Will a woman be elected U.S. President in 2016?";"Will the next elected President be a woman?"
"What will Obama's job approval be at the end of May 22?";"Obama approval on May 22?"
"What will Obama's job approval be at the end of May 22?";"Obama approval on May 22?"
"What will Obama's job approval be at the end of May 22?";"Obama approval on May 22?"
"What will Obama's job approval be at the end of May 22?";"Obama approval on May 22?"
"What will Obama's job approval be at the end of May 22?";"Obama approval on May 22?"
"Will ""right direction"" poll at 29.5%+ at the end of May 22?";"Direction of country on May 22?"
"Will Congressional job approval be at least 16% on May 22?";"Congressional approval at 16+% on May 22?"
"What will Obama's job approval be at the end of May 29?";"Obama approval on May 29?"
"What will Obama's job approval be at the end of May 29?";"Obama approval on May 29?"
"What will Obama's job approval be at the end of May 29?";"Obama approval on May 29?"
"What will Obama's job approval be at the end of May 29?";"Obama approval on May 29?"
"What will Obama's job approval be at the end of May 29?";"Obama approval on May 29?"
